ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],1.62738428452719e-16,0.9875410199165344,1.067077919149101e-15,0.012459032237529755
[0,1],4.339729100725473e-16,0.9999741315841675,1.016860749249171e-12,2.5831883249338716e-05
[0,2],4.0903525954771175e-14,0.947502076625824,0.05249800160527229,4.519106155953523e-08
[0,3],3.401198066321987e-16,0.0017956619849428535,0.9982043504714966,1.8198741125186046e-12
[0,4],1.0686974461442513e-15,3.1602181982393063e-10,1.0,2.1833633893611475e-19
[0,5],2.97158533775477e-16,1.217964260263188e-13,1.0,2.840400343242639e-23
[0,6],3.615130828617066e-18,3.839978126598219e-15,1.0,8.614150311240335e-26
[0,7],1.0978179531090394e-19,3.502812638537145e-16,1.0,1.2539432311728885e-27
[0,8],3.455122755758913e-20,1.5964714200704502e-16,1.0,3.115339981652072e-28
[0,9],2.6559544854030228e-20,1.3353425444371782e-16,1.0,2.269756587708967e-28
[1,0],2.7539923466712857e-12,5.781212748107167e-12,4.450724569419376e-26,1.0
[1,1],7.813645021802207e-13,0.9993236064910889,5.630682031743106e-10,0.0006763595738448203
[1,2],7.86453679957333e-11,0.9998444318771362,0.00013623439008370042,1.9359220459591597e-05
[1,3],1.2919395100171455e-13,2.4128188336192125e-09,1.0,2.3973907687105934e-17
[1,4],4.832699046714364e-15,7.059763472601344e-13,1.0,7.173806156335765e-22
[1,5],3.717790235824997e-15,4.223641835582326e-13,1.0,3.6088265955748056e-22
[1,6],1.4094193079134906e-15,2.1527079435441215e-13,1.0,1.1041033544637703e-22
[1,7],5.998987102708944e-17,2.5240716160506056e-14,1.0,2.469523541768041e-24
[1,8],6.080123367158377e-19,1.1181752875713351e-15,1.0,9.828136062004728e-27
[1,9],5.595353393689851e-20,2.2143513824970224e-16,1.0,5.5649972039837645e-28
[2,0],1.1315832992853103e-10,3.98625278836065e-13,4.632401701082104e-26,1.0
[2,1],0.00011133930820506066,1.9838563503071782e-07,6.339902561269817e-12,0.9998884201049805
[2,2],0.00031490737455897033,0.0007318412535823882,0.9989528656005859,3.2264256333291996e-07
[2,3],7.553366003776318e-07,1.7975762602873147e-06,0.9999974966049194,1.6836292776600814e-11
[2,4],3.35027382084626e-14,3.2720254457274667e-12,1.0,1.255316534472117e-20
[2,5],4.9796046294378876e-15,5.150100181386397e-13,1.0,5.184611973375565e-22
[2,6],4.385041287057519e-15,4.649516448934632e-13,1.0,4.327412742132854e-22
[2,7],2.9090463541601433e-15,3.5178088740595026e-13,1.0,2.6389850952602444e-22
[2,8],5.393710461141924e-16,1.1207322640456943e-13,1.0,3.471976583458875e-23
[2,9],8.283485915779525e-18,6.583203593531466e-15,1.0,2.278704596897546e-25
[3,0],7.532039944635471e-06,4.580175756892235e-13,2.4762913814223237e-21,0.9999924898147583
[3,1],0.9999957084655762,3.2095780295575768e-18,2.9182158669789973e-14,4.272806108929217e-06
[3,2],0.9999794960021973,6.979272160201333e-10,1.6420724932686426e-05,4.06227127314196e-06
[3,3],0.0003225913969799876,1.8397582607576624e-05,0.9996590614318848,5.960895776979669e-09
[3,4],9.547888701888496e-09,8.475680601804925e-08,0.9999998807907104,2.0052203983638578e-13
[3,5],1.3510046759698108e-14,1.4396698893789917e-12,1.0,3.1707545401519477e-21
[3,6],4.94903986905269e-15,5.092838585747661e-13,1.0,5.086970935712888e-22
[3,7],4.679137055574843e-15,4.858100683888256e-13,1.0,4.677692732470929e-22
[3,8],3.965213218399188e-15,4.340849511438871e-13,1.0,3.8311854063932213e-22
[3,9],1.855773166227156e-15,2.5927171650938496e-13,1.0,1.5362442613519718e-22
[4,0],0.9999532699584961,2.1440675332968412e-17,9.44067982900569e-16,4.678335244534537e-05
[4,1],0.9999997615814209,1.0038349843804715e-19,1.4348624624072916e-14,2.2332783089495933e-07
[4,2],0.9999996423721313,1.9970669505343275e-17,2.0680963452174295e-12,3.964006793921726e-07
[4,3],0.9999479055404663,1.9416062091437425e-09,4.808575249626301e-05,4.0468153201800305e-06
[4,4],0.00017833345918916166,1.4764234038011637e-05,0.9998069405555725,3.430561612560723e-09
[4,5],6.771959382145809e-11,3.158327821495277e-09,1.0,1.4472471640631572e-15
[4,6],8.593948001964138e-15,9.211356720786879e-13,1.0,1.4600800060101473e-21
[4,7],4.9248206559918475e-15,5.056242425617585e-13,1.0,5.022395917971199e-22
[4,8],4.799922259787412e-15,4.942451070806542e-13,1.0,4.822645229607694e-22
[4,9],4.49533556470187e-15,4.726772901038345e-13,1.0,4.4557448866296975e-22
[5,0],0.9999995231628418,1.9126328617392529e-19,6.894661843401609e-15,4.3658539539137564e-07
[5,1],0.9999997615814209,8.778781245554906e-20,1.4312817153260687e-14,1.971895358110487e-07
[5,2],0.9999997615814209,9.831693631159973e-20,1.6025834562931156e-14,1.9928155836623773e-07
[5,3],0.9999977350234985,5.711220558979324e-12,2.04727115260539e-07,1.9877068098139716e-06
[5,4],0.999935507774353,2.4228499206913057e-09,6.02646978222765e-05,4.143620571994688e-06
[5,5],5.119252091390081e-05,7.875621122366283e-06,0.9999408721923828,1.1220434581460381e-09
[5,6],2.5811182618323825e-12,2.8870816848325376e-10,1.0,3.410357139459766e-17
[5,7],6.7384715090267576e-15,7.133247443245894e-13,1.0,9.294012338951154e-22
[5,8],4.907716943204415e-15,5.032832874410365e-13,1.0,4.98089754295325e-22
[5,9],4.84789524130458e-15,4.975669399068239e-13,1.0,4.880237376834111e-22
[6,0],0.9999998807907104,6.711312451607944e-20,9.624874343166188e-15,1.6520472456704738e-07
[6,1],0.9999997615814209,8.607605265075007e-20,1.4218998089956907e-14,1.9393105787912646e-07
[6,2],0.9999997615814209,8.757508486645515e-20,1.4419133340668258e-14,1.9624438607479533e-07
[6,3],0.9999997615814209,3.2039990582174246e-19,4.7255077048656904e-14,2.319842593578869e-07
[6,4],0.9999845027923584,4.855484903032448e-10,1.1947096936637536e-05,3.520532345646643e-06
[6,5],0.9999231100082397,2.8409012919894394e-09,7.271992944879457e-05,4.215943590679672e-06
[6,6],2.946176664408995e-06,1.562851934977516e-06,0.9999954700469971,9.119389271505796e-11
[6,7],3.9202771888111054e-13,5.568326355565034e-11,1.0,2.169143637643478e-18
[6,8],5.8774214370448195e-15,6.147953240248638e-13,1.0,7.130997136255445e-22
[6,9],4.896422182369253e-15,5.018292096974075e-13,1.0,4.955123879457869e-22
[7,0],0.9999998807907104,2.0528790727756313e-20,4.891176083810433e-15,6.456942003296717e-08
[7,1],0.9999997615814209,8.197470376560463e-20,1.3739688403127063e-14,1.8673803481306095e-07
[7,2],0.9999997615814209,8.723566293432138e-20,1.4373551109644715e-14,1.9589920441376307e-07
[7,3],0.9999997615814209,8.946874685783338e-20,1.4702738606133837e-14,1.9685657548507152e-07
[7,4],0.9999992847442627,1.1321667895523185e-15,8.353176483844038e-11,6.637858405156294e-07
[7,5],0.999977707862854,7.884168873317776e-10,1.8636761524248868e-05,3.747215032490203e-06
[7,6],0.9998984336853027,3.4848839369772122e-09,9.724240226205438e-05,4.346960849943571e-06
[7,7],2.68260773594875e-08,9.934906586295256e-08,0.9999998807907104,1.4769650346496688e-12
[7,8],1.0739193280311088e-13,1.5043738824105368e-11,1.0,2.196353226905527e-19
[7,9],5.4341923891526936e-15,5.637311906343812e-13,1.0,6.105843990928152e-22
[8,0],1.0,9.105006819640972e-22,5.301223992422411e-16,5.825663951242177e-09
[8,1],0.9999998807907104,6.825066587940178e-20,1.2038541313179416e-14,1.621421432673742e-07
[8,2],0.9999997615814209,8.657725947847185e-20,1.4295029461368347e-14,1.947613981201357e-07
[8,3],0.9999997615814209,8.746057851275338e-20,1.440126772174477e-14,1.9624401659257273e-07
[8,4],0.9999997615814209,1.1387140210876025e-19,1.8333906170574926e-14,2.0307314230194606e-07
[8,5],0.999995231628418,6.777275962654983e-11,1.9679159777297173e-06,2.7335072445566766e-06
[8,6],0.9999767541885376,8.248673410982121e-10,1.9483681171550415e-05,3.770213879761286e-06
