ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],3.290128836042072e-09,1.0,1.6151671999864448e-08,3.2760270052278884e-09
[0,1],1.3975973156554744e-12,1.0,9.735922068543346e-10,1.8530151845992486e-14
[0,2],6.501166792405311e-13,1.0,7.510104205188384e-10,3.3694204076958802e-15
[0,3],5.509602648244571e-13,1.0,6.238529137725379e-10,2.618068090405189e-15
[0,4],5.134270287567022e-13,1.0,5.713407524865488e-10,2.3925601795170715e-15
[0,5],4.944883478380513e-13,1.0,5.457150287213608e-10,2.2873032068100423e-15
[0,6],4.837555052719655e-13,1.0,5.315739515232565e-10,2.2299497589185063e-15
[0,7],4.773304689877078e-13,1.0,5.232328459392477e-10,2.19630730431946e-15
[0,8],4.733792568004103e-13,1.0,5.181430839940049e-10,2.175843200072033e-15
[0,9],4.709180636587595e-13,1.0,5.149842774443414e-10,2.1631478702585855e-15
[1,0],5.24794465661671e-08,0.9999998807907104,2.222992989686645e-08,7.743159358142293e-08
[1,1],2.8703155303955175e-12,1.0,1.9161369713138754e-10,3.0940159288783686e-13
[1,2],6.415861765474151e-13,1.0,4.976322687255674e-10,5.45346365925215e-15
[1,3],5.011271345806145e-13,1.0,5.45891998271486e-10,2.3872452595312876e-15
[1,4],4.843583758899761e-13,1.0,5.320182072665602e-10,2.238489756850961e-15
[1,5],4.773313905595544e-13,1.0,5.231160504770571e-10,2.1979501247206597e-15
[1,6],4.732979958475825e-13,1.0,5.179434658941773e-10,2.176225000173008e-15
[1,7],4.708443921211392e-13,1.0,5.148232395946195e-10,2.163230244212706e-15
[1,8],4.69322822792273e-13,1.0,5.128963365130801e-10,2.1552240887952583e-15
[1,9],4.683686706703771e-13,1.0,5.116915779979081e-10,2.1502149477034332e-15
[2,0],1.3505641618394293e-06,0.9999959468841553,1.0232614755523173e-07,2.5885601644404233e-06
[2,1],5.31024139591163e-12,1.0,8.811367607775011e-11,9.938749042509576e-13
[2,2],1.431660345829755e-12,1.0,2.018743366916098e-10,1.0791409134564348e-13
[2,3],5.429183578403718e-13,1.0,4.716441681651418e-10,3.7816992952118076e-15
[2,4],4.758886969387366e-13,1.0,5.161122085262093e-10,2.22579400352104e-15
[2,5],4.709827363183483e-13,1.0,5.147800519189616e-10,2.1656578406395368e-15
[2,6],4.693353995374738e-13,1.0,5.128738544968314e-10,2.1555859836219727e-15
[2,7],4.683686706703771e-13,1.0,5.116690959816594e-10,2.150370801765728e-15
[2,8],4.677678600364943e-13,1.0,5.109191403285251e-10,2.1471656290933177e-15
[2,9],4.67390611890578e-13,1.0,5.104477396322693e-10,2.1451598550742195e-15
[3,0],9.18627847568132e-06,0.9999662637710571,2.7186780471311067e-07,2.4293383830809034e-05
[3,1],9.86193678803593e-12,1.0,1.0553452556294474e-10,1.930702993313549e-12
[3,2],3.183294339931253e-12,1.0,7.883919211915114e-11,5.42736103455177e-13
[3,3],1.0653999384102608e-12,1.0,2.5438151585177593e-10,5.902656835532483e-14
[3,4],5.105384973287663e-13,1.0,4.787417129392679e-10,3.1223205681910667e-15
[3,5],4.699104603697601e-13,1.0,5.103708011766628e-10,2.181561095982473e-15
[3,6],4.678392005394438e-13,1.0,5.108831135913761e-10,2.14842749642649e-15
[3,7],4.674021586437149e-13,1.0,5.104506262121333e-10,2.145290933422807e-15
[3,8],4.671579963144712e-13,1.0,5.101538080864998e-10,2.1439492332343563e-15
[3,9],4.67006533270975e-13,1.0,5.099670130626066e-10,2.143139681495018e-15
[4,0],2.268989192089066e-05,0.9998923540115356,4.2809844558178156e-07,8.447492291452363e-05
[4,1],5.6222738270550465e-11,1.0,2.8426089260236154e-10,1.1331291807636923e-11
[4,2],3.918313156575648e-12,1.0,6.188336648671466e-11,7.31845627936073e-13
[4,3],2.3990254227612695e-12,1.0,1.0504872666183829e-10,3.7310849939145574e-13
[4,4],8.967478452512334e-13,1.0,2.970568513394056e-10,3.602349131883245e-14
[4,5],4.945138265891047e-13,1.0,4.875466697029651e-10,2.762668896479233e-15
