ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],0.00012062934547429904,0.9992707371711731,0.0006081991014070809,3.2687123052710376e-07
[0,1],4.504877892941295e-08,0.9999997615814209,2.936616851911822e-07,4.448514907134937e-12
[0,2],7.276644620191064e-09,1.0,2.614619099006177e-08,2.1334646289200565e-12
[0,3],2.6630608829236735e-09,1.0,6.580286093793575e-09,1.5906510050095468e-12
[0,4],1.7281238662292253e-09,1.0,3.5862615099802042e-09,1.3838014935318999e-12
[0,5],1.413480665846123e-09,1.0,2.6241153694428476e-09,1.2748006860199834e-12
[0,6],1.2555629869126506e-09,1.0,2.104413532322269e-09,1.19644799709967e-12
[0,7],1.1527958587720377e-09,1.0,1.7405784591417728e-09,1.1313533660253783e-12
[0,8],1.0733501865090034e-09,1.0,1.457323262066268e-09,1.074872721211484e-12
[0,9],1.0036603770302577e-09,1.0,1.2261995863127595e-09,1.0254316926833207e-12
[1,0],0.0005395710468292236,1.825477511374629e-06,0.0002556580875534564,0.9992029070854187
[1,1],7.550929126409756e-08,0.9999995231628418,3.653938733805262e-07,1.0146267159782951e-10
[1,2],2.717465807933195e-09,1.0,1.1242527797605817e-08,1.9254699831078304e-12
[1,3],1.4938417169929608e-09,1.0,4.849685542041016e-09,1.541870580865079e-12
[1,4],1.2390762860192694e-09,1.0,3.614257781947572e-09,1.4443097325761434e-12
[1,5],1.1648083608761794e-09,1.0,3.159225547832989e-09,1.3892758471412137e-12
[1,6],1.140152305900699e-09,1.0,2.8736943935570025e-09,1.3420606856731632e-12
[1,7],1.1334027050224904e-09,1.0,2.631287410181926e-09,1.2945919293169683e-12
[1,8],1.1339778005492462e-09,1.0,2.402587018224267e-09,1.245733225775647e-12
[1,9],1.1360258289627723e-09,1.0,2.18138884733321e-09,1.1964342277320794e-12
[2,0],8.674865057400893e-06,7.522052980490912e-10,1.8690511751628947e-06,0.9999895095825195
[2,1],0.008649006485939026,0.2923188805580139,0.003747994313016534,0.6952841281890869
[2,2],3.272891735406347e-09,1.0,1.1899460972131237e-08,5.2580140762203964e-12
[2,3],1.2736044441297167e-09,1.0,4.572075607001125e-09,1.578928827961068e-12
[2,4],1.1538671129684985e-09,1.0,3.9259795414636756e-09,1.5022026591399174e-12
[2,5],1.1273980637938052e-09,1.0,3.6990996932217968e-09,1.4765540136060795e-12
[2,6],1.123469761665774e-09,1.0,3.550962857090667e-09,1.4530523052141975e-12
[2,7],1.1287815127047907e-09,1.0,3.411795956864694e-09,1.4263291069072093e-12
[2,8],1.1402371269397804e-09,1.0,3.2641078728801176e-09,1.3948835576177432e-12
[2,9],1.1569171176617488e-09,1.0,3.1037097336650277e-09,1.3584451489037641e-12
[3,0],3.81054974241124e-06,4.848338952534448e-10,5.762332762060396e-07,0.9999955892562866
[3,1],3.535417818056885e-06,5.518774770507662e-09,3.0464929068330093e-07,0.9999961853027344
[3,2],3.608605084082228e-06,0.9999915361404419,3.391425934751169e-06,1.5995138937796582e-06
[3,3],1.4500699530017869e-09,1.0,5.160573302021021e-09,2.189229917140545e-12
[3,4],1.1446388281655118e-09,1.0,4.141641696264742e-09,1.5410591639591908e-12
[3,5],1.1278926681512758e-09,1.0,4.019097055163456e-09,1.5205741396920325e-12
[3,6],1.1259818633035934e-09,1.0,3.948320337343603e-09,1.5103619310091743e-12
[3,7],1.1285297141228057e-09,1.0,3.880499477304511e-09,1.4983938569079758e-12
[3,8],1.1343953554288078e-09,1.0,3.804754289404855e-09,1.4833342887321521e-12
[3,9],1.143918515467135e-09,1.0,3.717106622502797e-09,1.4643537033995346e-12
[4,0],2.3014408725430258e-06,5.459104279736948e-10,2.5313977403129684e-07,0.9999974966049194
[4,1],1.1939127944060601e-06,8.134005136106737e-10,7.767231124944374e-08,0.9999986886978149
[4,2],1.3278896403789986e-05,4.7297245941990695e-07,1.1476545296318363e-06,0.9999850988388062
[4,3],2.0991070215359287e-08,1.0,4.3383195702517696e-08,2.4973079160162115e-10
[4,4],1.2087281175965359e-09,1.0,4.418132082406601e-09,1.7118658920955987e-12
[4,5],1.1339907901586344e-09,1.0,4.176131440658537e-09,1.542052943670491e-12
[4,6],1.1313313619254473e-09,1.0,4.140606968405791e-09,1.5350540933864454e-12
[4,7],1.1318558312822802e-09,1.0,4.110241924593083e-09,1.5302043486487005e-12
[4,8],1.1337961680624176e-09,1.0,4.076055049040406e-09,1.5240293835955265e-12
[4,9],1.1373483266297058e-09,1.0,4.035550560388401e-09,1.5159638952141896e-12
[5,0],1.5612861261615762e-06,6.19280404734468e-10,1.322629117339602e-07,0.9999983310699463
[5,1],9.735397270560497e-07,7.482715003170881e-10,5.73611913523564e-08,0.999998927116394
[5,2],1.0172693691856693e-06,1.2249405934028346e-09,5.6128047987158425e-08,0.999998927116394
[5,3],0.0008794019231572747,0.010762801393866539,0.00015401386190205812,0.988203763961792
[5,4],2.876364924020436e-09,1.0,8.71480310138395e-09,7.859202871829396e-12
[5,5],1.1567781177390657e-09,1.0,4.296435651696129e-09,1.5957317932302484e-12
[5,6],1.135668337148843e-09,1.0,4.227115990573793e-09,1.5457898632983968e-12
[5,7],1.1352027096123152e-09,1.0,4.2130139377150044e-09,1.5430150646783547e-12
[5,8],1.1356531270934056e-09,1.0,4.198342118399978e-09,1.5406183273558582e-12
[5,9],1.1367107255466635e-09,1.0,4.180929380481757e-09,1.5374772852419505e-12
[6,0],1.1918616564798867e-06,6.791200934941344e-10,8.380058602597273e-08,0.9999986886978149
[6,1],8.902014769773814e-07,7.625018394463723e-10,4.967968081359686e-08,0.9999990463256836
[6,2],8.320008078044339e-07,8.061740164322373e-10,4.398069819444572e-08,0.9999991655349731
[6,3],1.507402771494526e-06,3.4667217985173693e-09,8.714295063327882e-08,0.9999984502792358
[6,4],2.354637581447605e-05,0.999904990196228,1.3500003660738003e-05,5.7967488828580827e-05
[6,5],1.5126504493423454e-09,1.0,5.2869646438580276e-09,2.550332124304222e-12
[6,6],1.1438596736468298e-09,1.0,4.279636645065921e-09,1.563674103394197e-12
[6,7],1.1375391739676388e-09,1.0,4.257613372971036e-09,1.5482891661464104e-12
[6,8],1.1374502451033663e-09,1.0,4.251121676901448e-09,1.547090689064945e-12
[6,9],1.1376953823472036e-09,1.0,4.243822182559143e-09,1.5458990424571661e-12
[7,0],1.005734361569921e-06,7.211637953474792e-10,6.268849972457247e-08,0.999998927116394
[7,1],8.484096269967267e-07,7.739394680683631e-10,4.5903359335852656e-08,0.9999990463256836
[7,2],8.130508035719686e-07,7.877543617418326e-10,4.2603087280213003e-08,0.9999991655349731
[7,3],8.360405558960338e-07,8.663480488557695e-10,4.3785174597132936e-08,0.9999991655349731
[7,4],5.820038950332673e-06,8.38422025140062e-08,4.1725783717083686e-07,0.9999936819076538
[7,5],5.953680215498025e-08,0.9999998807907104,9.54772971795137e-08,1.5974332967516602e-09
[7,6],1.2422874950956952e-09,1.0,4.560161581679267e-09,1.8050033039410107e-12
[7,7],1.140602612359487e-09,1.0,4.281220267188246e-09,1.5545506505329487e-12
[7,8],1.1386485088138443e-09,1.0,4.2736574279444994e-09,1.5496718491769812e-12
[7,9],1.138633298758407e-09,1.0,4.270512388160341e-09,1.5491339764792111e-12
