Episode,Terminal State,Reward,Running Average
132,2 3,BOUNDARY,-2003,347180.5606060606
133,3 2,BOUNDARY,-2000,344555.14285714284
134,3 1,BOUNDARY,-2002,341968.89552238805
135,2 3,GOAL,1000000,346843.2
136,2 2,GOAL,1000000,351645.82352941175
137,2 3,GOAL,1000000,356378.3357664234
138,2 1,BOUNDARY,-2005,353781.35507246375
139,1 1,GOAL,999999,358430.40287769784
140,1 3,GOAL,999999,363013.03571428574
141,2 3,GOAL,1000000,367530.6737588653
142,3 2,BOUNDARY,-2001,364928.338028169
143,2 2,GOAL,1000000,369369.3986013986
144,3 1,BOUNDARY,-2002,366790.43055555556
145,2 3,BOUNDARY,-2011,364246.9724137931
146,1 1,GOAL,999999,368601.4383561644
147,3 1,BOUNDARY,-2002,366080.32653061225
148,2 2,GOAL,1000000,370363.5675675676
149,3 1,BOUNDARY,-2002,367864.4697986577
150,2 2,GOAL,1000000,372078.70666666667
151,2 1,BOUNDARY,-2000,369601.3642384106
152,1 2,BOUNDARY,-2009,367156.5592105263
153,3 1,BOUNDARY,-2003,364743.75163398695
154,1 1,BOUNDARY,-2000,362362.2987012987
155,1 2,BOUNDARY,-2001,360011.5677419355
156,1 3,BOUNDARY,-2001,357690.9743589744
157,1 3,BOUNDARY,-2002,355399.93630573247
158,2 1,GOAL,1000000,359479.6835443038
159,2 2,GOAL,1000000,363508.11320754717
160,3 3,BOUNDARY,-2001,361223.68125
161,3 2,BOUNDARY,-2003,358967.6149068323
162,2 1,BOUNDARY,-2003,356739.4012345679
163,1 1,STEPS,-1019,354544.5644171779
164,3 1,BOUNDARY,-2011,352370.4451219512
165,1 1,BOUNDARY,-2006,350222.7090909091
166,1 3,BOUNDARY,-2007,348100.843373494
167,3 3,BOUNDARY,-2006,346004.39520958083
168,1 1,BOUNDARY,-2000,343932.9404761905
169,2 2,GOAL,1000000,347814.9940828402
170,3 2,BOUNDARY,-2009,345757.20588235295
171,1 3,BOUNDARY,-2010,343723.47953216376
172,1 3,BOUNDARY,-2007,341713.4186046512
173,2 1,GOAL,1000000,345518.5433526012
174,1 1,BOUNDARY,-2006,343521.275862069
175,3 2,BOUNDARY,-2009,341546.8171428571
176,2 3,GOAL,1000000,345288.0284090909
177,3 1,BOUNDARY,-2004,343325.9265536723
178,1 1,BOUNDARY,-2006,341385.8595505618
179,2 2,GOAL,1000000,345065.2681564246
180,2 1,GOAL,1000000,348703.7944444445
181,2 3,GOAL,1000000,352302.11602209945
182,1 1,BOUNDARY,-2000,350355.4010989011
183,1 2,BOUNDARY,-2009,348429.912568306
184,1 3,STEPS,-1019,346530.73369565216
185,1 1,BOUNDARY,-2002,344646.77297297295
186,1 1,STEPS,-1019,342788.3548387097
187,3 3,BOUNDARY,-2006,340944.53475935827
188,2 1,GOAL,1000000,344450.1489361702
189,2 1,GOAL,1000000,347918.6666666667
190,2 1,GOAL,1000000,351350.6736842105
191,1 3,STEPS,-1019,349505.8062827225
192,3 3,BOUNDARY,-2000,347675.046875
193,1 3,GOAL,999997,351054.95336787566
194,2 1,GOAL,1000000,354400.03092783503
195,2 3,GOAL,1000000,357710.8
196,2 3,GOAL,1000000,360987.78571428574
197,3 2,BOUNDARY,-2007,359145.1725888325
198,2 2,GOAL,1000000,362381.81313131313
199,1 2,BOUNDARY,-2019,360550.65326633165
200,3 1,BOUNDARY,-2008,358737.86
201,3 1,BOUNDARY,-2002,356943.1343283582
202,1 3,BOUNDARY,-2016,355166.1089108911
203,2 3,GOAL,1000000,358342.63054187194
204,1 3,STEPS,-1019,356581.0539215686
205,3 1,GOAL,999991,359719.63902439026
206,2 2,GOAL,1000000,362827.7961165049
207,2 3,GOAL,1000000,365905.922705314
208,1 3,BOUNDARY,-2006,364137.1153846154
209,3 3,STEPS,-1019,362389.95693779906
210,2 3,GOAL,1000000,365426.19523809524
211,3 1,BOUNDARY,-2018,363684.7535545024
212,3 1,BOUNDARY,-2002,361959.81603773584
213,3 1,STEPS,-1019,360255.6901408451
214,2 3,GOAL,1000000,363245.14953271026
215,2 3,GOAL,1000000,366206.8
216,1 2,BOUNDARY,-2003,364502.125
217,2 2,GOAL,1000000,367430.6866359447
218,1 1,BOUNDARY,-2000,365736.0504587156
219,1 1,BOUNDARY,-2000,364056.8904109589
220,2 3,GOAL,1000000,366947.5409090909
221,3 1,BOUNDARY,-2008,365278.0588235294
222,2 1,GOAL,1000000,368137.1666666667
223,2 3,GOAL,1000000,370970.63228699553
224,2 3,GOAL,1000000,373778.79910714284
225,1 3,BOUNDARY,-2002,372108.66222222225
226,3 2,STEPS,-1019,370457.65486725664
227,2 1,BOUNDARY,-2000,368816.87224669603
228,3 2,STEPS,-1019,367194.7850877193
229,3 3,STEPS,-1019,365586.864628821
230,2 3,GOAL,1000000,368345.18260869564
231,2 2,GOAL,1000000,371079.61904761905
232,1 2,BOUNDARY,-2001,369471.5129310345
233,1 3,BOUNDARY,-2002,367877.2060085837
234,2 2,GOAL,1000000,370578.5854700855
235,3 3,BOUNDARY,-2010,368993.1021276596
236,1 3,BOUNDARY,-2006,367421.0720338983
237,3 2,STEPS,-1019,365866.47257383965
238,3 2,GOAL,999990,368530.85714285716
239,3 3,STEPS,-1019,366984.6234309623
240,2 1,GOAL,1000000,369622.1875
241,2 3,GOAL,1000000,372237.86307053943
242,2 2,GOAL,1000000,374831.9214876033
243,3 3,BOUNDARY,-2016,373281.1069958848
244,3 2,BOUNDARY,-2005,371743.04918032786
245,1 1,BOUNDARY,-2002,370217.55918367347
246,2 3,GOAL,1000000,372777.65040650405
247,3 1,GOAL,999987,375316.95951417
248,3 3,STEPS,-1019,373799.47580645164
249,2 1,GOAL,1000000,376314.3373493976
250,1 3,BOUNDARY,-2016,374801.016
251,3 3,STEPS,-1019,373303.7250996016
252,3 1,GOAL,999997,375790.6031746032
253,1 3,BOUNDARY,-2004,374297.34387351776
254,2 3,GOAL,1000000,376760.7401574803
255,3 1,BOUNDARY,-2002,375275.3960784314
256,1 2,BOUNDARY,-2012,373801.6171875
257,2 3,GOAL,1000000,376238.18677042803
258,3 1,STEPS,-1019,374775.9496124031
259,2 3,GOAL,1000000,377189.9420849421
260,1 2,GOAL,999990,379585.32692307694
261,1 2,GOAL,999990,381962.3563218391
262,3 2,BOUNDARY,-2003,380496.8396946565
263,3 1,STEPS,-1019,379046.20912547526
264,1 3,STEPS,-1019,377606.5681818182
265,3 3,GOAL,999999,379955.21886792453
266,1 2,STEPS,-1019,378522.984962406
267,3 1,STEPS,-1019,377101.4794007491
268,1 3,BOUNDARY,-2018,375686.85447761195
269,1 3,BOUNDARY,-2002,374282.80669144983
270,2 3,GOAL,1000000,376600.27777777775
271,2 1,GOAL,1000000,378900.6457564576
272,3 3,STEPS,-1019,377503.8823529412
273,2 2,GOAL,1000000,379784.0879120879
274,3 1,GOAL,999995,382047.6313868613
275,2 3,GOAL,1000000,384294.7309090909
