Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,3 5,6,GOAL,92,92.0
2,1 4,6,BOUNDARY,-100,-4.0
3,3 6,6,BOUNDARY,-134,-47.333333333333336
4,1 1,6,BOUNDARY,-100,-60.5
5,4 4,6,BOUNDARY,-110,-70.4
6,5 8,6,BOUNDARY,-100,-75.33333333333333
7,6 3,6,BOUNDARY,-100,-78.85714285714286
8,1 3,6,BOUNDARY,-104,-82.0
9,2 6,6,BOUNDARY,-100,-84.0
10,3 2,6,BOUNDARY,-102,-85.8
11,7 1,6,BOUNDARY,-108,-87.81818181818181
12,8 3,6,BOUNDARY,-114,-90.0
13,6 2,6,BOUNDARY,-106,-91.23076923076923
14,5 7,6,BOUNDARY,-106,-92.28571428571429
15,1 2,6,BOUNDARY,-100,-92.8
16,2 5,6,BOUNDARY,-100,-93.25
17,1 6,6,BOUNDARY,-104,-93.88235294117646
18,4 7,6,BOUNDARY,-120,-95.33333333333333
19,4 4,6,BOUNDARY,-118,-96.52631578947368
20,6 5,6,GOAL,94,-87.0
21,6 2,6,BOUNDARY,-134,-89.23809523809524
22,5 2,6,BOUNDARY,-104,-89.9090909090909
23,5 6,6,BOUNDARY,-102,-90.43478260869566
24,1 6,6,BOUNDARY,-108,-91.16666666666667
25,8 3,6,BOUNDARY,-100,-91.52
26,6 2,6,BOUNDARY,-104,-92.0
27,6 3,6,BOUNDARY,-102,-92.37037037037037
28,7 6,6,BOUNDARY,-100,-92.64285714285714
29,7 3,6,BOUNDARY,-104,-93.03448275862068
30,8 4,6,BOUNDARY,-100,-93.26666666666667
31,3 4,6,BOUNDARY,-110,-93.80645161290323
32,3 6,6,BOUNDARY,-100,-94.0
33,5 3,6,BOUNDARY,-108,-94.42424242424242
34,5 4,6,BOUNDARY,-102,-94.6470588235294
35,1 5,6,BOUNDARY,-108,-95.02857142857142
36,8 4,6,BOUNDARY,-100,-95.16666666666667
37,1 2,6,BOUNDARY,-100,-95.29729729729729
38,2 3,6,BOUNDARY,-100,-95.42105263157895
39,1 4,6,BOUNDARY,-104,-95.64102564102564
40,1 3,6,BOUNDARY,-102,-95.8
41,1 5,6,BOUNDARY,-100,-95.90243902439025
42,1 8,6,BOUNDARY,-100,-96.0
43,1 7,6,BOUNDARY,-102,-96.13953488372093
44,6 7,6,BOUNDARY,-100,-96.22727272727273
45,4 4,6,BOUNDARY,-100,-96.31111111111112
46,3 4,6,BOUNDARY,-104,-96.47826086956522
47,1 1,6,BOUNDARY,-100,-96.55319148936171
48,1 8,6,BOUNDARY,-100,-96.625
49,7 7,6,BOUNDARY,-100,-96.6938775510204
50,8 3,6,BOUNDARY,-100,-96.76
51,7 5,6,BOUNDARY,-100,-96.82352941176471
52,3 2,6,BOUNDARY,-100,-96.88461538461539
53,8 4,6,BOUNDARY,-100,-96.94339622641509
54,4 8,6,BOUNDARY,-100,-97.0
55,6 8,6,BOUNDARY,-100,-97.05454545454545
56,5 7,6,BOUNDARY,-100,-97.10714285714286
57,6 3,6,GOAL,100,-93.64912280701755
58,4 2,6,BOUNDARY,-100,-93.75862068965517
59,1 2,6,BOUNDARY,-100,-93.86440677966101
60,2 2,6,BOUNDARY,-100,-93.96666666666667
61,6 1,6,GOAL,100,-90.78688524590164
62,5 8,6,BOUNDARY,-100,-90.93548387096774
63,7 1,6,BOUNDARY,-100,-91.07936507936508
64,3 2,6,BOUNDARY,-100,-91.21875
65,3 4,6,GOAL,100,-88.27692307692308
66,3 1,6,BOUNDARY,-100,-88.45454545454545
67,6 2,6,GOAL,100,-85.64179104477611
68,7 4,6,BOUNDARY,-100,-85.8529411764706
69,5 6,6,BOUNDARY,-100,-86.05797101449275
70,2 7,6,BOUNDARY,-100,-86.25714285714285
71,3 1,6,BOUNDARY,-104,-86.50704225352112
72,5 8,6,BOUNDARY,-100,-86.69444444444444
73,8 3,6,BOUNDARY,-102,-86.9041095890411
74,8 3,6,BOUNDARY,-100,-87.08108108108108
75,1 3,6,BOUNDARY,-100,-87.25333333333333
76,7 4,6,BOUNDARY,-100,-87.42105263157895
77,4 6,6,BOUNDARY,-100,-87.58441558441558
78,1 4,6,BOUNDARY,-104,-87.7948717948718
79,5 4,6,GOAL,100,-85.41772151898734
80,8 4,6,BOUNDARY,-100,-85.6
81,3 8,6,BOUNDARY,-100,-85.77777777777777
82,3 4,6,BOUNDARY,-100,-85.95121951219512
83,8 2,6,BOUNDARY,-100,-86.12048192771084
84,2 7,6,BOUNDARY,-100,-86.28571428571429
85,7 7,6,BOUNDARY,-100,-86.44705882352942
86,2 7,6,BOUNDARY,-100,-86.6046511627907
87,3 7,6,BOUNDARY,-100,-86.75862068965517
88,2 8,6,BOUNDARY,-100,-86.9090909090909
89,2 3,6,BOUNDARY,-100,-87.0561797752809
90,3 5,6,BOUNDARY,-102,-87.22222222222223
91,3 8,6,BOUNDARY,-100,-87.36263736263736
92,1 5,6,BOUNDARY,-100,-87.5
93,2 5,6,BOUNDARY,-100,-87.63440860215054
94,8 7,6,BOUNDARY,-100,-87.76595744680851
95,4 7,6,BOUNDARY,-100,-87.89473684210526
96,3 2,6,GOAL,98,-85.95833333333333
97,5 1,6,BOUNDARY,-100,-86.10309278350516
98,8 6,6,BOUNDARY,-100,-86.24489795918367
99,2 3,6,BOUNDARY,-102,-86.4040404040404
100,1 3,6,BOUNDARY,-104,-86.58
101,2 7,6,BOUNDARY,-100,-86.7128712871287
102,2 8,6,BOUNDARY,-100,-86.84313725490196
103,3 5,6,GOAL,100,-85.02912621359224
