Episode,Terminal State,Reward,Running Average
1,1 3,BOUNDARY,-2000,-2000.0
2,5 2,GOAL,999998,498999.0
3,5 1,BOUNDARY,-2000,331999.3333333333
4,5 2,BOUNDARY,-2005,248498.25
5,2 2,GOAL,1000000,398798.6
6,4 4,BOUNDARY,-2005,331998.0
7,2 5,BOUNDARY,-2003,284283.5714285714
8,2 1,BOUNDARY,-2001,248498.0
9,4 3,GOAL,999996,331997.77777777775
10,1 5,BOUNDARY,-2001,298597.9
11,1 5,BOUNDARY,-2000,271270.8181818182
12,1 3,BOUNDARY,-2000,248498.25
13,5 5,BOUNDARY,-2000,229229.15384615384
14,4 4,BOUNDARY,-2004,212712.5
15,2 1,BOUNDARY,-2002,198398.2
16,1 2,GOAL,1000000,248498.3125
17,1 4,BOUNDARY,-2000,233763.11764705883
18,3 5,BOUNDARY,-2000,220665.16666666666
19,2 1,BOUNDARY,-2000,208945.94736842104
20,1 1,BOUNDARY,-2000,198398.65
21,5 2,BOUNDARY,-2010,188855.38095238095
22,2 4,BOUNDARY,-2003,180180.0
23,2 5,BOUNDARY,-2003,172259.0
24,2 4,BOUNDARY,-2002,164998.125
25,1 2,BOUNDARY,-2001,158318.16
26,1 3,BOUNDARY,-2000,152152.07692307694
27,3 1,BOUNDARY,-2006,146442.5185185185
28,5 4,BOUNDARY,-2006,141140.7857142857
29,2 4,BOUNDARY,-2014,136204.41379310345
30,1 5,BOUNDARY,-2005,131597.43333333332
31,2 3,BOUNDARY,-2003,127287.74193548386
32,3 3,GOAL,999999,154559.96875
33,4 3,BOUNDARY,-2004,149815.60606060605
34,3 3,BOUNDARY,-2003,145350.35294117648
35,1 3,BOUNDARY,-2000,141140.34285714285
36,5 1,BOUNDARY,-2000,137164.22222222222
37,5 4,GOAL,999992,160483.8918918919
38,4 3,BOUNDARY,-2005,156207.86842105264
39,1 2,GOAL,999998,177843.5128205128
40,1 1,BOUNDARY,-2000,173347.425
41,5 1,BOUNDARY,-2000,169070.65853658537
42,1 5,GOAL,999995,188854.57142857142
43,4 4,BOUNDARY,-2003,184416.02325581395
44,4 4,BOUNDARY,-2003,180179.22727272726
45,4 4,BOUNDARY,-2008,176130.6222222222
46,2 3,BOUNDARY,-2017,172257.84782608695
47,4 4,BOUNDARY,-2006,168550.10638297873
48,3 1,BOUNDARY,-2003,164996.91666666666
49,1 4,BOUNDARY,-2003,161588.75510204083
50,3 4,BOUNDARY,-2001,158316.96
51,1 2,BOUNDARY,-2000,155173.49019607843
52,1 5,GOAL,999997,171420.09615384616
53,5 1,BOUNDARY,-2000,168148.01886792452
54,1 2,GOAL,1000000,183552.6851851852
55,1 2,GOAL,999996,198397.1090909091
56,1 5,BOUNDARY,-2003,194818.5357142857
57,2 2,GOAL,1000000,208944.52631578947
58,3 2,BOUNDARY,-2003,205307.5
59,5 1,BOUNDARY,-2000,201793.81355932204
60,1 3,BOUNDARY,-2002,198397.21666666667
61,5 1,BOUNDARY,-2002,195111.9836065574
62,3 5,BOUNDARY,-2000,191932.75806451612
63,3 5,BOUNDARY,-2005,188854.38095238095
64,2 3,GOAL,1000000,201528.53125
65,4 5,BOUNDARY,-2010,198397.16923076924
66,1 1,GOAL,999997,210542.62121212122
67,1 4,GOAL,999998,222325.53731343284
68,1 5,GOAL,999997,233761.88235294117
69,3 1,GOAL,999999,244866.76811594202
70,4 1,BOUNDARY,-2002,241340.07142857142
71,1 5,BOUNDARY,-2001,237912.7323943662
72,5 5,BOUNDARY,-2004,234580.55555555556
73,2 1,GOAL,1000000,245065.75342465754
74,2 5,GOAL,999994,255267.48648648648
75,1 3,GOAL,999999,265197.24
76,5 1,GOAL,999995,274865.63157894736
77,5 5,BOUNDARY,-2000,271269.97402597405
78,3 3,BOUNDARY,-2011,267766.3717948718
79,3 4,GOAL,999982,277034.9240506329
80,4 2,GOAL,999997,286071.95
81,3 1,BOUNDARY,-2015,282515.3209876543
82,5 2,GOAL,999998,291265.10975609755
83,2 1,BOUNDARY,-2000,287731.7951807229
84,4 3,BOUNDARY,-2009,284282.5
85,3 2,BOUNDARY,-2005,280914.4117647059
86,4 2,BOUNDARY,-2002,277624.68604651163
87,5 2,GOAL,999998,285927.8275862069
88,1 1,BOUNDARY,-2000,282655.92045454547
89,5 3,GOAL,999995,290715.91011235956
90,3 4,BOUNDARY,-2005,287463.4555555555
91,4 4,GOAL,999993,295293.4505494505
92,1 2,BOUNDARY,-2001,292061.98913043475
93,5 3,BOUNDARY,-2008,288899.94623655913
94,2 1,BOUNDARY,-2001,285805.25531914894
95,1 3,GOAL,999999,293323.0842105263
96,5 4,GOAL,999994,300684.2395833333
97,5 5,GOAL,999991,307893.58762886596
98,1 4,GOAL,999998,314955.8775510204
99,1 1,BOUNDARY,-2000,311754.30303030304
100,3 5,GOAL,999997,318636.73
101,1 2,BOUNDARY,-2001,315462.099009901
102,4 1,BOUNDARY,-2003,312349.6960784314
103,2 1,BOUNDARY,-2002,309297.7378640777
104,2 2,GOAL,1000000,315939.10576923075
105,3 3,GOAL,999999,322453.9619047619
106,1 1,BOUNDARY,-2000,319393.07547169813
107,3 1,BOUNDARY,-2002,316389.38317757007
108,1 1,GOAL,999999,322719.10185185185
109,5 4,BOUNDARY,-2000,319740.02752293576
110,2 5,BOUNDARY,-2005,316815.07272727275
111,4 5,GOAL,999996,322969.85585585586
112,1 1,BOUNDARY,-2002,320068.3214285714
113,1 3,BOUNDARY,-2009,317218.0796460177
114,1 1,BOUNDARY,-2000,314417.9210526316
115,3 4,GOAL,999998,320379.48695652175
116,5 2,BOUNDARY,-2008,317600.2844827586
117,5 2,GOAL,999990,323432.6752136752
118,5 5,BOUNDARY,-2000,320674.77118644066
119,2 5,GOAL,999992,326383.3193277311
120,3 5,BOUNDARY,-2006,323646.74166666664
121,1 4,GOAL,999994,329236.3884297521
122,2 5,GOAL,999996,334734.41803278687
123,5 5,GOAL,999995,340143.0406504065
124,2 1,GOAL,999998,345464.4516129032
125,4 3,GOAL,999996,350700.704
126,2 5,GOAL,999998,355853.85714285716
127,2 4,GOAL,999999,360925.86614173226
128,5 2,GOAL,999998,365918.6171875
129,1 4,GOAL,999998,370833.9612403101
130,4 1,GOAL,999998,375673.6846153846
131,4 2,GOAL,999997,380439.51145038166
132,2 4,GOAL,999999,385133.1439393939
133,2 2,GOAL,1000000,389756.2030075188
134,5 2,GOAL,999994,394310.2164179105
135,1 5,BOUNDARY,-2004,391374.55555555556
136,2 4,GOAL,999999,395849.73529411765
137,4 5,BOUNDARY,-2000,392945.7226277372
138,1 2,BOUNDARY,-2001,390083.78985507245
139,5 2,GOAL,999998,394471.6618705036
140,4 2,GOAL,999995,398796.82857142854
141,4 5,GOAL,999992,403060.6241134752
142,5 2,GOAL,999996,407264.3943661972
143,5 5,GOAL,999993,411409.34965034964
144,2 2,GOAL,1000000,415496.78472222225
145,2 3,GOAL,1000000,419527.84137931035
146,1 1,BOUNDARY,-2012,416640.58219178085
147,5 3,GOAL,999997,420608.99319727893
148,3 3,GOAL,999999,424523.79054054053
149,5 1,BOUNDARY,-2008,421661.1610738255
150,2 5,GOAL,999998,425516.74
151,1 4,BOUNDARY,-2004,422685.4768211921
152,1 5,BOUNDARY,-2004,419891.46710526315
153,4 2,GOAL,999999,423683.01960784313
154,5 4,GOAL,999994,427425.2987012987
155,2 2,GOAL,1000000,431119.3290322581
156,5 5,GOAL,999995,434765.96794871794
157,3 5,GOAL,999997,438366.16560509556
158,3 3,GOAL,999999,441920.80379746837
159,3 3,GOAL,999999,445430.72955974843
160,5 5,GOAL,999995,448896.75625
161,3 3,GOAL,999999,452319.75155279506
162,2 4,GOAL,999999,455700.487654321
163,2 1,BOUNDARY,-2001,452892.50306748465
164,5 3,BOUNDARY,-2008,450118.7195121951
165,2 1,BOUNDARY,-2003,447378.5878787879
166,3 1,GOAL,999999,450707.6265060241
167,2 1,GOAL,1000000,453996.80239520955
168,1 3,GOAL,999999,457246.8154761905
169,3 1,BOUNDARY,-2002,454529.36686390534
170,1 4,BOUNDARY,-2005,451843.87058823527
171,3 2,GOAL,1000000,455049.4619883041
172,1 2,BOUNDARY,-2001,452392.1918604651
173,3 5,GOAL,999997,455557.5375722543
174,1 1,BOUNDARY,-2000,452927.8965517241
175,3 4,GOAL,999998,456054.0114285714
176,1 3,BOUNDARY,-2006,453451.3977272727
177,4 3,GOAL,999998,456539.2316384181
178,4 5,GOAL,999994,459592.34831460676
179,2 3,GOAL,999998,462611.374301676
