ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],4.098290829440107e-17,0.9998693466186523,2.9671960553737456e-14,0.00013067881809547544
[0,1],2.8654818548786336e-18,0.9999960660934448,6.277032523318085e-14,3.919894425052917e-06
[0,2],7.784498806552017e-17,1.0,5.740883768368121e-09,4.5441658769185267e-10
[0,3],7.255537583601343e-16,0.9999997615814209,2.0127347966081288e-07,2.126823439585479e-10
[0,4],2.98750282325122e-14,0.9999872446060181,1.2794684153050184e-05,4.290417188190787e-10
[0,5],2.7159600957116226e-11,0.9889039397239685,0.011096013709902763,1.1434079238981099e-09
[0,6],2.0644423059934525e-08,1.5904461179161444e-05,0.9999840259552002,8.564838833817479e-13
[0,7],1.1396195986890234e-07,2.267756399332299e-10,0.9999998807907104,2.2366103495596813e-16
[1,0],6.731152636142712e-13,0.042170505970716476,1.767993405485651e-14,0.9578294157981873
[1,1],2.478971092664166e-16,0.9999767541885376,7.712541542914675e-12,2.318626138730906e-05
[1,2],4.5588444857243976e-14,0.999994158744812,5.891140062885825e-06,4.888998983432202e-09
[1,3],4.1769243771215547e-13,0.9998675584793091,0.00013237302482593805,2.9991757966030264e-09
[1,4],2.5297255956679976e-10,0.9699971675872803,0.030002806335687637,1.780650116245397e-08
[1,5],1.6200283425860107e-07,8.952928510552738e-06,0.9999909400939941,2.5337188944152267e-11
[1,6],7.556419632237521e-07,2.146036681693886e-09,0.9999992847442627,8.153362289790508e-14
[1,7],7.737326654932986e-07,3.803712067540488e-10,0.9999992847442627,1.422395492676424e-14
[2,0],3.184622704432982e-11,0.00018982434994541109,7.026343618260836e-14,0.9998101592063904
[2,1],4.051207882615343e-13,0.9970675110816956,6.917567074715691e-10,0.0029325082432478666
[2,2],6.948649012954167e-13,0.999913215637207,8.680042083142325e-05,1.076507061270604e-08
[2,3],3.0656892580083195e-09,0.770026683807373,0.22997336089611053,3.194631048586416e-08
[2,4],2.78641692830206e-07,7.789720939399558e-07,0.999998927116394,5.6275756624146744e-12
[2,5],9.513478858025337e-07,1.6542623937354506e-09,0.9999990463256836,9.586561010082803e-14
[2,6],1.133244154516433e-06,6.773982486052432e-10,0.9999988079071045,5.279004433567623e-14
[2,7],1.147670218415442e-06,6.036994792957273e-10,0.9999988079071045,4.7981797436083204e-14
[3,0],5.29514765368333e-11,0.0001232805079780519,1.0103642775942737e-13,0.9998767375946045
[3,1],6.227431903482739e-10,0.00198630103841424,1.798295019839191e-11,0.9980137348175049
[3,2],3.943556592389541e-08,0.3909677565097809,0.6090320944786072,1.3225540840267058e-07
[3,3],4.197095506697224e-07,1.0503000424932907e-07,0.9999995231628418,1.513660399278527e-12
[3,4],1.0178292768614483e-06,1.1908705133123476e-09,0.999998927116394,7.735260728388565e-14
[3,5],1.1462373095127987e-06,6.566495680537798e-10,0.9999988079071045,5.217164252154481e-14
[3,6],1.1617236168603995e-06,6.136930963407394e-10,0.9999988079071045,4.988099438162606e-14
[3,7],1.1632401992756058e-06,6.088801129955357e-10,0.9999988079071045,4.959790241812652e-14
[4,0],4.0970143944107917e-10,5.477522427099757e-05,4.853073780515527e-13,0.9999451637268066
[4,1],2.298044455528725e-05,3.4981842418346787e-06,7.2498678171939446e-09,0.9999735355377197
[4,2],0.00010971061419695616,4.3559843732055015e-08,0.9998902082443237,3.1684052603786483e-10
[4,3],1.08844585611223e-06,9.590693794692129e-10,0.999998927116394,6.88525232379715e-14
[4,4],1.152308186647133e-06,6.403833574530893e-10,0.9999988079071045,5.132146877612209e-14
[4,5],1.1625437537077232e-06,6.123367923827061e-10,0.9999988079071045,4.981767019848933e-14
[4,6],1.1636951740001678e-06,6.092937265833598e-10,0.9999988079071045,4.9653559259024704e-14
[4,7],1.1638172736638808e-06,6.089475035331304e-10,0.9999988079071045,4.96344332550757e-14
[5,0],0.00010043774818768725,4.1663270167191513e-07,6.693365417476116e-09,0.99989914894104
[5,1],0.8442487120628357,4.351915272593487e-09,1.5231245015456807e-05,0.15573608875274658
[5,2],0.8501331210136414,1.1005304306754837e-10,0.14986670017242432,1.374404945408969e-07
[5,3],1.7010038391163107e-06,6.183385470315272e-10,0.9999983310699463,7.54552602582996e-14
[5,4],1.164235754913534e-06,6.112608752495419e-10,0.9999988079071045,4.9816243795006154e-14
[5,5],1.1637650914053665e-06,6.09255368377859e-10,0.9999988079071045,4.965147555797446e-14
[5,6],1.1638471733022016e-06,6.090334347952364e-10,0.9999988079071045,4.9639356210565144e-14
[5,7],1.1638560408755438e-06,6.090055681973183e-10,0.9999988079071045,4.963803145103564e-14
[6,0],0.7343142628669739,1.9908472648211273e-09,4.573550540953875e-06,0.2656811475753784
[6,1],0.9781748056411743,3.114706548235091e-10,1.221400816575624e-05,0.02181289903819561
[6,2],0.9641883969306946,1.6538709637914373e-11,0.03581145778298378,1.1310066838632338e-07
[6,3],0.0004260439600329846,4.154968591407737e-10,0.9995740056037903,1.9111887419875906e-11
[6,4],1.1922448948098463e-06,6.082545023211594e-10,0.9999988079071045,5.087295805428736e-14
[6,5],1.163931528935791e-06,6.090473680941955e-10,0.9999988079071045,4.9643523612665635e-14
[6,6],1.1638616115305922e-06,6.090334347952364e-10,0.9999988079071045,4.9639356210565144e-14
[6,7],1.1638616115305922e-06,6.090311033268847e-10,0.9999988079071045,4.963916647518496e-14
[7,0],0.9139145612716675,3.806273629614054e-10,4.171314230916323e-06,0.08608130365610123
[7,1],0.9839252233505249,2.426389089649206e-10,1.3118838069203775e-05,0.0160616934299469
[7,2],0.9649012088775635,1.4634453371353828e-11,0.03509866073727608,1.0210964518364563e-07
[7,3],0.8369717001914978,3.625716393784728e-11,0.16302834451198578,3.998759723344847e-08
[7,4],2.0182121716061374e-06,5.872673458640065e-10,0.9999979734420776,8.641585304324309e-14
[7,5],1.1656044307528646e-06,6.089811988019278e-10,0.9999988079071045,4.971449480925018e-14
