ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],4.957652421921921e-08,0.6652265787124634,0.0012769321911036968,0.33349648118019104
[0,1],1.0019998164523258e-08,0.5977786183357239,0.0003292248584330082,0.40189221501350403
[0,2],8.834128095713822e-09,0.7268102169036865,0.00013190283789299428,0.2730579078197479
[0,3],1.428118068247386e-08,0.9014626145362854,3.1345993193099275e-05,0.09850605577230453
[0,4],2.4187134073372363e-08,0.9682429432868958,7.2804327828635e-06,0.03174973279237747
[0,5],3.4107632274071875e-08,0.9833441376686096,3.2674577141733607e-06,0.016652612015604973
[0,6],4.009815057770538e-08,0.9872691631317139,2.358485517106601e-06,0.012728464789688587
[0,7],4.26718145263294e-08,0.9884507656097412,2.098899585689651e-06,0.011547137051820755
[1,0],1.610959407116752e-05,0.0001146275972132571,0.0004231948696542531,0.9994460940361023
[1,1],2.441899141558679e-06,0.0018133387202396989,0.00034405477344989777,0.997840166091919
[1,2],8.21685432583763e-07,0.06181976571679115,0.0003299050440546125,0.9378495216369629
[1,3],4.6517956775460334e-07,0.6441439390182495,0.00010682251740945503,0.3557487428188324
[1,4],1.8655258315902756e-07,0.9445101022720337,1.3329261491890065e-05,0.05547639727592468
[1,5],1.1280577183470086e-07,0.9791595935821533,4.5181973291619215e-06,0.020835714414715767
[1,6],8.986204846905821e-08,0.9854909181594849,3.0568453439627774e-06,0.014505898579955101
[1,7],8.102035309320854e-08,0.9872213006019592,2.6704356059781276e-06,0.012775926850736141
[2,0],0.011384667828679085,1.8485236523702042e-06,0.0008546928875148296,0.9877588152885437
[2,1],0.015947245061397552,3.2066500352812e-06,0.0007091143052093685,0.9833404421806335
[2,2],0.0322052426636219,1.1401965821278282e-05,0.0006197888287715614,0.9671635627746582
[2,3],0.06239139661192894,0.00011440186790423468,0.000526305811945349,0.9369679093360901
[2,4],0.05614493042230606,0.0033028731122612953,0.0005031783948652446,0.9400489926338196
[2,5],0.013792041689157486,0.10846889764070511,0.0005350264837034047,0.8772041201591492
[2,6],0.0010668608592823148,0.6725987195968628,0.00023309150128625333,0.3261013627052307
[2,7],0.00010048240073956549,0.9133545160293579,6.790109182475135e-05,0.08647697418928146
[3,0],0.2507975995540619,9.012216537485074e-07,0.0013488475233316422,0.7478526830673218
[3,1],0.43857908248901367,1.1163278941239696e-06,0.0008806080440990627,0.560539186000824
[3,2],0.6700049042701721,1.232554268426611e-06,0.0004501023213379085,0.3295438289642334
[3,3],0.8566954731941223,1.2755826901411638e-06,0.00015725303092040122,0.1431460678577423
