Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,2 3,4,STEPS,-27,-27.0
2,6 3,4,STEPS,-23,-25.0
3,6 3,4,STEPS,-23,-24.333333333333332
4,4 5,4,GOAL,100,6.75
5,6 1,4,STEPS,-23,0.8
6,3 3,4,STEPS,-26,-3.6666666666666665
7,2 1,4,STEPS,-26,-6.857142857142857
8,4 4,4,GOAL,100,6.5
9,3 5,4,STEPS,-24,3.111111111111111
10,5 6,4,STEPS,-22,0.6
11,6 5,4,STEPS,-22,-1.4545454545454546
12,1 1,4,STEPS,-26,-3.5
13,5 6,4,STEPS,-22,-4.923076923076923
14,2 3,4,STEPS,-26,-6.428571428571429
15,3 4,4,STEPS,-26,-7.733333333333333
16,1 5,4,STEPS,-24,-8.75
17,5 3,4,STEPS,-26,-9.764705882352942
18,6 5,4,STEPS,-22,-10.444444444444445
19,4 5,4,GOAL,100,-4.631578947368421
20,1 4,4,STEPS,-25,-5.65
21,3 3,4,STEPS,-27,-6.666666666666667
22,5 4,4,STEPS,-25,-7.5
23,4 5,4,GOAL,100,-2.8260869565217392
24,6 5,4,GOAL,100,1.4583333333333333
25,2 3,4,STEPS,-27,0.32
26,5 5,4,GOAL,100,4.153846153846154
27,4 3,4,STEPS,-26,3.037037037037037
28,6 6,4,GOAL,100,6.5
29,2 2,4,STEPS,-27,5.344827586206897
30,6 5,4,GOAL,100,8.5
31,1 1,4,STEPS,-27,7.354838709677419
32,1 2,4,STEPS,-27,6.28125
33,4 1,4,STEPS,-25,5.333333333333333
34,3 3,4,STEPS,-28,4.352941176470588
35,4 6,4,STEPS,-24,3.5428571428571427
36,1 6,4,STEPS,-23,2.8055555555555554
37,5 3,4,STEPS,-25,2.054054054054054
38,1 4,4,STEPS,-26,1.3157894736842106
39,3 6,4,STEPS,-23,0.6923076923076923
40,2 3,4,STEPS,-27,0.0
41,4 6,4,STEPS,-22,-0.5365853658536586
42,3 3,4,STEPS,-27,-1.1666666666666667
43,3 4,4,STEPS,-25,-1.7209302325581395
44,4 5,4,STEPS,-23,-2.2045454545454546
45,5 4,4,GOAL,100,0.06666666666666667
46,5 5,4,STEPS,-23,-0.43478260869565216
47,1 1,4,STEPS,-25,-0.9574468085106383
48,3 6,4,STEPS,-24,-1.4375
49,1 1,4,STEPS,-24,-1.8979591836734695
50,6 4,4,GOAL,100,0.14
51,5 3,4,STEPS,-24,-0.3333333333333333
52,5 6,4,STEPS,-21,-0.7307692307692307
53,4 1,4,STEPS,-23,-1.150943396226415
54,2 3,4,STEPS,-26,-1.6111111111111112
55,4 2,4,STEPS,-24,-2.018181818181818
56,5 4,4,GOAL,100,-0.19642857142857142
57,4 2,4,STEPS,-23,-0.5964912280701754
58,6 4,4,GOAL,100,1.1379310344827587
59,5 5,4,STEPS,-22,0.7457627118644068
60,1 2,4,STEPS,-25,0.31666666666666665
61,4 4,4,GOAL,100,1.9508196721311475
62,1 4,4,STEPS,-24,1.532258064516129
63,5 2,4,STEPS,-22,1.1587301587301588
64,3 2,4,STEPS,-25,0.75
65,5 1,4,STEPS,-21,0.4153846153846154
66,6 3,4,STEPS,-22,0.07575757575757576
