Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,4 4,6,BOUNDARY,-100,-100.0
2,2 1,6,BOUNDARY,-100,-100.0
3,1 6,6,BOUNDARY,-100,-100.0
4,4 6,6,BOUNDARY,-116,-104.0
5,2 4,6,BOUNDARY,-101,-103.4
6,2 1,6,BOUNDARY,-100,-102.83333333333333
7,6 3,6,BOUNDARY,-107,-103.42857142857143
8,4 4,6,BOUNDARY,-107,-103.875
9,5 2,6,BOUNDARY,-105,-104.0
10,2 5,6,GOAL,87,-84.9
11,4 5,6,BOUNDARY,-111,-87.27272727272727
12,6 6,6,BOUNDARY,-101,-88.41666666666667
13,3 6,6,BOUNDARY,-102,-89.46153846153847
14,3 2,6,BOUNDARY,-107,-90.71428571428571
15,5 1,6,BOUNDARY,-101,-91.4
16,1 6,6,BOUNDARY,-100,-91.9375
17,4 1,6,GOAL,94,-81.0
18,3 1,6,GOAL,100,-70.94444444444444
19,4 3,6,BOUNDARY,-105,-72.73684210526316
20,6 5,6,BOUNDARY,-100,-74.1
21,6 3,6,BOUNDARY,-101,-75.38095238095238
22,1 3,6,BOUNDARY,-107,-76.81818181818181
23,5 3,6,BOUNDARY,-103,-77.95652173913044
24,2 1,6,BOUNDARY,-101,-78.91666666666667
25,4 6,6,BOUNDARY,-104,-79.92
26,1 6,6,BOUNDARY,-104,-80.84615384615384
27,1 1,6,BOUNDARY,-100,-81.55555555555556
28,6 5,6,BOUNDARY,-101,-82.25
29,6 3,6,STEPS,-20,-80.10344827586206
30,3 2,6,STEPS,-16,-77.96666666666667
31,5 1,6,BOUNDARY,-100,-78.6774193548387
32,1 3,6,BOUNDARY,-101,-79.375
33,3 2,6,STEPS,-20,-77.57575757575758
34,5 3,6,BOUNDARY,-111,-78.55882352941177
35,5 2,6,STEPS,-15,-76.74285714285715
36,4 1,6,BOUNDARY,-103,-77.47222222222223
37,3 3,6,STEPS,-22,-75.97297297297297
38,4 5,6,BOUNDARY,-100,-76.60526315789474
39,6 4,6,BOUNDARY,-102,-77.25641025641026
40,5 3,6,STEPS,-22,-75.875
41,1 6,6,BOUNDARY,-101,-76.48780487804878
42,4 6,6,BOUNDARY,-105,-77.16666666666667
43,6 1,6,GOAL,95,-73.16279069767442
44,4 5,6,BOUNDARY,-107,-73.93181818181819
45,3 5,6,BOUNDARY,-101,-74.53333333333333
46,1 5,6,BOUNDARY,-116,-75.43478260869566
47,4 2,6,BOUNDARY,-105,-76.06382978723404
48,6 3,6,BOUNDARY,-110,-76.77083333333333
49,1 1,6,BOUNDARY,-100,-77.24489795918367
50,5 5,6,STEPS,-18,-76.06
51,1 1,6,BOUNDARY,-101,-76.54901960784314
52,2 4,6,STEPS,-22,-75.5
53,1 6,6,BOUNDARY,-107,-76.09433962264151
54,3 5,6,GOAL,83,-73.14814814814815
55,5 5,6,BOUNDARY,-106,-73.74545454545455
56,4 6,6,STEPS,-16,-72.71428571428571
57,1 5,6,GOAL,98,-69.71929824561404
58,1 1,6,BOUNDARY,-106,-70.34482758620689
59,4 1,6,BOUNDARY,-100,-70.84745762711864
60,1 1,6,BOUNDARY,-100,-71.33333333333333
61,3 6,6,BOUNDARY,-108,-71.93442622950819
62,1 5,6,GOAL,95,-69.24193548387096
63,5 3,6,GOAL,98,-66.58730158730158
64,5 4,6,STEPS,-18,-65.828125
65,1 1,6,STEPS,-22,-65.15384615384616
66,3 1,6,GOAL,100,-62.65151515151515
67,5 5,6,BOUNDARY,-105,-63.28358208955224
68,1 3,6,BOUNDARY,-101,-63.838235294117645
69,6 6,6,GOAL,92,-61.57971014492754
70,2 6,6,GOAL,89,-59.42857142857143
71,1 2,6,BOUNDARY,-100,-60.0
72,6 1,6,BOUNDARY,-101,-60.56944444444444
73,4 4,6,BOUNDARY,-114,-61.3013698630137
74,6 3,6,GOAL,100,-59.12162162162162
75,6 4,6,GOAL,95,-57.06666666666667
76,5 6,6,BOUNDARY,-114,-57.81578947368421
77,1 5,6,BOUNDARY,-100,-58.36363636363637
78,5 5,6,STEPS,-14,-57.794871794871796
79,4 1,6,GOAL,99,-55.81012658227848
80,1 6,6,GOAL,100,-53.8625
81,5 2,6,GOAL,95,-52.02469135802469
82,2 4,6,GOAL,96,-50.21951219512195
83,3 6,6,BOUNDARY,-109,-50.9277108433735
84,4 1,6,BOUNDARY,-101,-51.523809523809526
85,6 6,6,BOUNDARY,-100,-52.09411764705882
86,4 2,6,GOAL,100,-50.325581395348834
87,6 5,6,GOAL,87,-48.747126436781606
88,1 2,6,BOUNDARY,-100,-49.32954545454545
89,2 1,6,BOUNDARY,-100,-49.89887640449438
90,3 6,6,GOAL,86,-48.388888888888886
91,3 6,6,GOAL,97,-46.79120879120879
92,1 3,6,GOAL,100,-45.19565217391305
93,3 4,6,GOAL,93,-43.70967741935484
94,5 3,6,GOAL,100,-42.180851063829785
95,3 1,6,GOAL,100,-40.68421052631579
96,3 3,6,BOUNDARY,-103,-41.333333333333336
97,3 1,6,GOAL,100,-39.876288659793815
98,4 4,6,GOAL,97,-38.47959183673469
99,3 3,6,BOUNDARY,-100,-39.101010101010104
100,2 1,6,GOAL,98,-37.73
101,6 6,6,BOUNDARY,-100,-38.34653465346535
102,1 5,6,BOUNDARY,-103,-38.98039215686274
103,3 3,6,GOAL,100,-37.63106796116505
104,5 2,6,GOAL,100,-36.30769230769231
105,2 3,6,GOAL,99,-35.01904761904762
106,3 3,6,GOAL,99,-33.75471698113208
107,3 2,6,GOAL,100,-32.504672897196265
108,5 3,6,GOAL,92,-31.35185185185185
109,1 2,6,GOAL,100,-30.146788990825687
110,6 4,6,GOAL,84,-29.10909090909091
111,3 3,6,GOAL,100,-27.945945945945947
112,2 4,6,GOAL,100,-26.803571428571427
113,5 3,6,GOAL,99,-25.690265486725664
114,3 5,6,GOAL,99,-24.596491228070175
115,5 5,6,BOUNDARY,-101,-25.26086956521739
116,2 1,6,GOAL,100,-24.18103448275862
117,1 5,6,BOUNDARY,-100,-24.82905982905983
118,4 6,6,GOAL,98,-23.78813559322034
119,6 2,6,GOAL,99,-22.756302521008404
120,1 5,6,BOUNDARY,-100,-23.4
121,6 1,6,BOUNDARY,-100,-24.03305785123967
122,2 1,6,BOUNDARY,-100,-24.65573770491803
123,4 3,6,GOAL,100,-23.642276422764226
124,3 2,6,BOUNDARY,-100,-24.258064516129032
125,5 5,6,GOAL,93,-23.32
126,3 6,6,BOUNDARY,-101,-23.936507936507937
127,2 3,6,BOUNDARY,-100,-24.53543307086614
128,1 4,6,GOAL,95,-23.6015625
129,1 3,6,BOUNDARY,-100,-24.1937984496124
130,2 3,6,BOUNDARY,-100,-24.776923076923076
131,2 5,6,GOAL,98,-23.83969465648855
132,3 1,6,GOAL,100,-22.901515151515152
133,5 4,6,GOAL,98,-21.992481203007518
134,5 6,6,GOAL,95,-21.119402985074625
135,3 5,6,GOAL,99,-20.22962962962963
136,5 5,6,GOAL,100,-19.345588235294116
137,3 1,6,GOAL,100,-18.474452554744527
138,6 4,6,GOAL,97,-17.63768115942029
139,3 1,6,GOAL,100,-16.79136690647482
140,5 5,6,GOAL,100,-15.957142857142857
141,3 3,6,GOAL,100,-15.134751773049645
142,2 1,6,GOAL,100,-14.32394366197183
143,6 5,6,GOAL,93,-13.573426573426573
144,1 2,6,BOUNDARY,-100,-14.17361111111111
145,1 3,6,BOUNDARY,-103,-14.786206896551723
146,5 1,6,BOUNDARY,-100,-15.36986301369863
147,1 6,6,GOAL,99,-14.591836734693878
148,6 1,6,BOUNDARY,-100,-15.16891891891892
149,6 4,6,GOAL,97,-14.416107382550335
150,5 4,6,GOAL,99,-13.66
151,1 6,6,GOAL,99,-12.913907284768213
152,1 5,6,BOUNDARY,-100,-13.486842105263158
153,6 2,6,BOUNDARY,-101,-14.058823529411764
154,4 4,6,GOAL,99,-13.324675324675324
155,5 5,6,GOAL,100,-12.593548387096774
156,1 4,6,GOAL,100,-11.871794871794872
157,3 2,6,GOAL,100,-11.159235668789808
158,4 1,6,BOUNDARY,-106,-11.759493670886076
159,6 2,6,GOAL,96,-11.081761006289309
160,4 1,6,GOAL,100,-10.3875
161,1 6,6,BOUNDARY,-100,-10.944099378881987
162,6 2,6,GOAL,99,-10.265432098765432
163,2 5,6,GOAL,99,-9.595092024539877
164,3 1,6,GOAL,100,-8.926829268292684
165,5 2,6,GOAL,91,-8.32121212121212
166,2 3,6,GOAL,100,-7.668674698795181
167,1 1,6,BOUNDARY,-100,-8.221556886227544
