Episode,Terminal State,Reward,Running Average
1,2 3,BOUNDARY,-2001,-2001.0
2,2 2,GOAL,1000000,498999.5
3,2 3,BOUNDARY,-2005,331998.0
4,3 1,GOAL,999997,498997.75
5,3 2,BOUNDARY,-2000,398798.2
6,1 2,BOUNDARY,-2001,331998.3333333333
7,1 2,BOUNDARY,-2001,284284.14285714284
8,2 2,GOAL,1000000,373748.625
9,3 1,BOUNDARY,-2001,331998.6666666667
10,2 1,BOUNDARY,-2001,298598.7
11,3 2,BOUNDARY,-2000,271271.54545454547
12,2 1,BOUNDARY,-2000,248498.91666666666
13,3 3,BOUNDARY,-2000,229229.76923076922
14,1 3,BOUNDARY,-2001,212713.2857142857
15,3 2,BOUNDARY,-2000,198399.06666666668
16,2 1,GOAL,1000000,248499.125
17,2 3,BOUNDARY,-2001,233763.82352941178
18,3 1,BOUNDARY,-2002,220665.72222222222
19,3 3,BOUNDARY,-2000,208946.47368421053
20,1 1,BOUNDARY,-2001,198399.1
21,2 3,BOUNDARY,-2000,188856.2857142857
22,3 2,BOUNDARY,-2001,180180.95454545456
23,2 2,GOAL,1000000,215825.26086956522
24,1 1,BOUNDARY,-2001,206749.16666666666
25,3 2,GOAL,1000000,238479.2
26,1 1,GOAL,999999,267768.42307692306
27,1 2,BOUNDARY,-2001,257776.96296296295
28,1 2,GOAL,1000000,284284.9285714286
29,1 1,BOUNDARY,-2002,274412.9655172414
30,1 1,BOUNDARY,-2002,265199.13333333336
31,2 3,BOUNDARY,-2000,256579.8064516129
32,2 3,BOUNDARY,-2000,248499.1875
33,3 1,GOAL,999999,271271.9090909091
34,1 1,BOUNDARY,-2000,263234.5
35,3 1,BOUNDARY,-2002,255656.3142857143
36,1 1,GOAL,999999,276332.5
37,3 1,BOUNDARY,-2002,268809.9459459459
38,1 2,BOUNDARY,-2001,261683.34210526315
39,3 2,BOUNDARY,-2001,254922.20512820513
40,2 3,BOUNDARY,-2000,248499.15
41,3 3,BOUNDARY,-2000,242389.41463414635
42,2 1,BOUNDARY,-2003,236570.54761904763
43,2 3,BOUNDARY,-2000,231022.39534883722
44,1 2,BOUNDARY,-2001,225726.4090909091
45,3 3,BOUNDARY,-2000,220665.82222222222
46,2 3,BOUNDARY,-2000,215825.26086956522
47,1 2,GOAL,1000000,232509.82978723405
48,2 1,GOAL,1000000,248499.20833333334
49,1 2,BOUNDARY,-2001,243386.95918367346
50,3 2,BOUNDARY,-2001,238479.2
51,2 3,BOUNDARY,-2000,233763.92156862744
52,3 2,BOUNDARY,-2001,229229.98076923078
53,2 1,GOAL,1000000,243772.81132075473
54,2 1,GOAL,1000000,257777.0185185185
55,1 3,BOUNDARY,-2000,253053.8
56,3 2,BOUNDARY,-2001,248499.25
57,1 3,BOUNDARY,-2001,244104.50877192983
58,3 2,BOUNDARY,-2001,239861.3103448276
59,2 1,BOUNDARY,-2000,235761.9661016949
60,3 2,BOUNDARY,-2001,231799.25
61,1 2,GOAL,1000000,244392.70491803277
62,3 1,BOUNDARY,-2002,240418.59677419355
