Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,6 2,4,BOUNDARY,-109,-109.0
2,3 7,4,BOUNDARY,-100,-104.5
3,5 5,4,BOUNDARY,-100,-103.0
4,8 7,4,GOAL,100,-52.25
5,4 8,4,BOUNDARY,-108,-63.4
6,1 4,4,BOUNDARY,-100,-69.5
7,2 6,4,BOUNDARY,-108,-75.0
8,7 4,4,BOUNDARY,-109,-79.25
9,5 1,4,BOUNDARY,-100,-81.55555555555556
10,3 8,4,BOUNDARY,-100,-83.4
11,5 7,4,BOUNDARY,-105,-85.36363636363636
12,4 1,4,BOUNDARY,-108,-87.25
13,7 5,4,GOAL,100,-72.84615384615384
14,1 1,4,BOUNDARY,-100,-74.78571428571429
15,5 5,4,BOUNDARY,-109,-77.06666666666666
16,7 8,4,GOAL,100,-66.0
17,4 4,4,BOUNDARY,-100,-68.0
18,5 4,4,BOUNDARY,-107,-70.16666666666667
19,7 6,4,BOUNDARY,-110,-72.26315789473684
20,6 2,4,BOUNDARY,-113,-74.3
21,7 3,4,BOUNDARY,-110,-76.0
22,6 7,4,GOAL,100,-68.0
23,3 6,4,BOUNDARY,-102,-69.47826086956522
24,4 7,4,BOUNDARY,-104,-70.91666666666667
25,2 6,4,BOUNDARY,-100,-72.08
26,6 7,4,GOAL,100,-65.46153846153847
27,2 8,4,BOUNDARY,-100,-66.74074074074075
28,6 6,4,GOAL,100,-60.785714285714285
29,5 6,4,BOUNDARY,-104,-62.275862068965516
30,5 1,4,BOUNDARY,-100,-63.53333333333333
31,6 8,4,BOUNDARY,-101,-64.74193548387096
32,7 1,4,BOUNDARY,-101,-65.875
33,3 6,4,BOUNDARY,-101,-66.93939393939394
34,1 7,4,BOUNDARY,-107,-68.11764705882354
35,2 5,4,BOUNDARY,-114,-69.42857142857143
36,1 1,4,BOUNDARY,-102,-70.33333333333333
37,4 6,4,STEPS,-19,-68.94594594594595
38,8 3,4,BOUNDARY,-100,-69.76315789473684
39,6 2,4,BOUNDARY,-111,-70.82051282051282
40,7 8,4,STEPS,-15,-69.425
41,8 4,4,BOUNDARY,-100,-70.17073170731707
42,8 5,4,GOAL,98,-66.16666666666667
43,2 5,4,BOUNDARY,-100,-66.95348837209302
44,7 4,4,GOAL,100,-63.15909090909091
45,1 8,4,BOUNDARY,-100,-63.977777777777774
46,7 4,4,BOUNDARY,-102,-64.80434782608695
47,3 3,4,STEPS,-20,-63.851063829787236
48,2 3,4,STEPS,-15,-62.833333333333336
49,4 6,4,STEPS,-20,-61.95918367346939
50,5 3,4,STEPS,-18,-61.08
51,1 5,4,BOUNDARY,-104,-61.92156862745098
52,7 7,4,BOUNDARY,-101,-62.67307692307692
53,1 5,4,STEPS,-16,-61.79245283018868
54,1 4,4,STEPS,-17,-60.96296296296296
55,3 8,4,STEPS,-21,-60.236363636363635
56,8 5,4,BOUNDARY,-100,-60.94642857142857
57,8 1,4,BOUNDARY,-102,-61.666666666666664
58,8 8,4,BOUNDARY,-100,-62.327586206896555
59,1 4,4,STEPS,-19,-61.59322033898305
60,6 5,4,STEPS,-19,-60.88333333333333
61,7 2,4,GOAL,97,-58.295081967213115
62,2 8,4,BOUNDARY,-112,-59.16129032258065
63,5 8,4,GOAL,85,-56.87301587301587
64,1 4,4,BOUNDARY,-102,-57.578125
65,2 8,4,BOUNDARY,-110,-58.38461538461539
66,8 6,4,GOAL,87,-56.18181818181818
67,1 4,4,BOUNDARY,-104,-56.8955223880597
68,8 8,4,GOAL,84,-54.8235294117647
69,1 6,4,BOUNDARY,-101,-55.492753623188406
70,2 5,4,STEPS,-22,-55.01428571428571
71,1 4,4,BOUNDARY,-103,-55.690140845070424
72,3 3,4,STEPS,-22,-55.22222222222222
73,4 5,4,BOUNDARY,-114,-56.02739726027397
74,4 2,4,STEPS,-22,-55.567567567567565
75,3 6,4,STEPS,-20,-55.093333333333334
76,1 8,4,STEPS,-18,-54.60526315789474
77,8 5,4,GOAL,94,-52.675324675324674
78,1 7,4,BOUNDARY,-108,-53.38461538461539
79,8 2,4,GOAL,98,-51.46835443037975
80,7 7,4,GOAL,92,-49.675
81,8 6,4,GOAL,97,-47.864197530864196
82,2 1,4,STEPS,-17,-47.48780487804878
83,7 6,4,GOAL,93,-45.795180722891565
84,4 8,4,BOUNDARY,-109,-46.54761904761905
85,8 4,4,GOAL,100,-44.8235294117647
86,7 5,4,BOUNDARY,-100,-45.46511627906977
87,6 5,4,BOUNDARY,-112,-46.229885057471265
88,4 8,4,BOUNDARY,-105,-46.89772727272727
89,6 4,4,BOUNDARY,-112,-47.62921348314607
90,3 6,4,BOUNDARY,-116,-48.388888888888886
91,6 8,4,GOAL,100,-46.75824175824176
92,2 3,4,BOUNDARY,-101,-47.34782608695652
93,6 3,4,STEPS,-17,-47.02150537634409
94,3 6,4,BOUNDARY,-100,-47.58510638297872
95,7 2,4,BOUNDARY,-103,-48.16842105263158
96,7 8,4,BOUNDARY,-101,-48.71875
97,8 1,4,BOUNDARY,-102,-49.2680412371134
98,2 1,4,BOUNDARY,-101,-49.795918367346935
99,3 1,4,BOUNDARY,-100,-50.303030303030305
100,2 8,4,BOUNDARY,-100,-50.8
101,6 8,4,BOUNDARY,-104,-51.32673267326733
102,4 2,4,STEPS,-20,-51.01960784313726
103,8 2,4,BOUNDARY,-115,-51.640776699029125
104,1 5,4,BOUNDARY,-100,-52.10576923076923
105,3 3,4,BOUNDARY,-117,-52.72380952380952
106,1 8,4,BOUNDARY,-100,-53.16981132075472
