Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,1 6,6,BOUNDARY,-100,-100.0
2,4 2,6,BOUNDARY,-100,-100.0
3,3 4,6,GOAL,100,-33.333333333333336
4,6 1,6,BOUNDARY,-100,-50.0
5,2 2,6,BOUNDARY,-100,-60.0
6,1 2,6,BOUNDARY,-100,-66.66666666666667
7,6 3,6,BOUNDARY,-101,-71.57142857142857
8,5 4,6,BOUNDARY,-102,-75.375
9,6 1,6,BOUNDARY,-100,-78.11111111111111
10,2 4,6,BOUNDARY,-103,-80.6
11,4 6,6,BOUNDARY,-105,-82.81818181818181
12,4 5,6,BOUNDARY,-100,-84.25
13,6 5,6,BOUNDARY,-100,-85.46153846153847
14,3 2,6,BOUNDARY,-100,-86.5
15,1 2,6,BOUNDARY,-100,-87.4
16,4 2,6,BOUNDARY,-109,-88.75
17,1 1,6,BOUNDARY,-102,-89.52941176470588
18,6 5,6,BOUNDARY,-109,-90.61111111111111
19,4 6,6,BOUNDARY,-102,-91.21052631578948
20,4 2,6,BOUNDARY,-110,-92.15
21,5 1,6,BOUNDARY,-100,-92.52380952380952
22,5 2,6,BOUNDARY,-105,-93.0909090909091
23,4 2,6,BOUNDARY,-106,-93.65217391304348
24,4 5,6,BOUNDARY,-105,-94.125
25,5 6,6,BOUNDARY,-100,-94.36
26,1 4,6,BOUNDARY,-102,-94.65384615384616
27,6 1,6,STEPS,-20,-91.88888888888889
28,3 2,6,GOAL,96,-85.17857142857143
29,2 6,6,BOUNDARY,-102,-85.75862068965517
30,1 6,6,BOUNDARY,-101,-86.26666666666667
31,4 5,6,STEPS,-20,-84.12903225806451
32,6 1,6,STEPS,-15,-81.96875
33,2 6,6,BOUNDARY,-101,-82.54545454545455
34,5 1,6,BOUNDARY,-106,-83.23529411764706
35,5 5,6,STEPS,-25,-81.57142857142857
36,5 2,6,BOUNDARY,-108,-82.30555555555556
37,2 3,6,BOUNDARY,-100,-82.78378378378379
38,5 1,6,BOUNDARY,-101,-83.26315789473684
39,1 5,6,GOAL,93,-78.74358974358974
40,1 5,6,BOUNDARY,-100,-79.275
41,3 1,6,BOUNDARY,-103,-79.85365853658537
42,5 3,6,BOUNDARY,-107,-80.5
43,6 6,6,BOUNDARY,-100,-80.95348837209302
44,1 4,6,GOAL,94,-76.97727272727273
45,3 3,6,GOAL,100,-73.04444444444445
46,3 6,6,GOAL,100,-69.28260869565217
