Episode,Terminal State,Reward,Running Average
1,1 2,BOUNDARY,-2000,-2000.0
2,1 2,BOUNDARY,-2001,-2000.5
3,3 3,BOUNDARY,-2000,-2000.3333333333333
4,3 1,BOUNDARY,-2000,-2000.25
5,3 3,BOUNDARY,-2000,-2000.2
6,1 2,BOUNDARY,-2006,-2001.1666666666667
7,2 2,GOAL,1000000,141141.85714285713
8,3 1,BOUNDARY,-2001,123249.0
9,3 1,BOUNDARY,-2000,109332.44444444444
10,1 2,BOUNDARY,-2002,98199.0
11,3 3,BOUNDARY,-2000,89090.0
12,3 1,BOUNDARY,-2000,81499.16666666667
13,3 1,BOUNDARY,-2004,75075.84615384616
14,1 3,BOUNDARY,-2000,69570.42857142857
15,1 2,BOUNDARY,-2006,64798.666666666664
16,2 1,BOUNDARY,-2000,60623.75
17,1 2,BOUNDARY,-2001,56939.94117647059
18,1 3,BOUNDARY,-2008,53665.055555555555
19,2 1,BOUNDARY,-2000,50735.31578947369
20,2 3,GOAL,1000000,98198.55
21,2 3,BOUNDARY,-2003,93427.04761904762
22,3 3,BOUNDARY,-2000,89089.45454545454
23,1 3,BOUNDARY,-2001,85129.0
24,2 2,GOAL,1000000,123248.625
25,1 2,BOUNDARY,-2005,118238.48
26,1 1,BOUNDARY,-2004,113613.76923076923
27,1 2,GOAL,999998,146442.8148148148
28,1 3,BOUNDARY,-2004,141141.14285714287
29,2 2,GOAL,1000000,170756.9655172414
30,1 1,BOUNDARY,-2000,164998.4
31,2 1,BOUNDARY,-2000,159611.35483870967
32,1 1,BOUNDARY,-2000,154561.0
33,1 3,BOUNDARY,-2002,149816.66666666666
34,3 3,BOUNDARY,-2000,145351.4705882353
35,3 3,BOUNDARY,-2001,141141.4
36,3 3,BOUNDARY,-2004,137165.13888888888
37,1 1,BOUNDARY,-2000,133403.9189189189
38,1 3,BOUNDARY,-2002,129840.6052631579
39,2 1,BOUNDARY,-2000,126460.07692307692
40,1 1,BOUNDARY,-2000,123248.575
41,1 2,BOUNDARY,-2001,120193.70731707317
42,2 3,GOAL,1000000,141141.47619047618
43,1 3,BOUNDARY,-2002,137812.55813953487
44,3 1,BOUNDARY,-2000,134635.0
45,2 1,BOUNDARY,-2000,131598.66666666666
46,2 2,GOAL,1000000,150476.95652173914
47,3 3,BOUNDARY,-2002,147232.72340425532
48,3 2,BOUNDARY,-2005,144123.60416666666
49,2 2,GOAL,1000000,161590.4693877551
50,1 2,BOUNDARY,-2003,158318.6
51,2 1,BOUNDARY,-2000,155175.0980392157
52,1 1,BOUNDARY,-2000,152152.5
53,1 2,BOUNDARY,-2003,149243.90566037735
54,3 2,BOUNDARY,-2001,146443.07407407407
55,1 3,BOUNDARY,-2003,143744.05454545454
56,1 3,BOUNDARY,-2004,141141.4107142857
57,3 3,BOUNDARY,-2002,138630.12280701756
58,2 1,BOUNDARY,-2000,136205.4655172414
59,3 2,BOUNDARY,-2004,133862.93220338982
60,1 3,BOUNDARY,-2005,131598.46666666667
61,3 3,BOUNDARY,-2002,129408.29508196721
62,3 2,BOUNDARY,-2003,127288.75806451614
63,1 1,BOUNDARY,-2000,125236.55555555556
64,3 1,BOUNDARY,-2004,123248.421875
65,3 2,BOUNDARY,-2001,121321.5076923077
66,3 1,BOUNDARY,-2004,119452.93939393939
67,2 1,GOAL,1000000,132595.4328358209
68,2 2,GOAL,1000000,145351.38235294117
69,2 2,GOAL,1000000,157737.59420289856
70,3 1,BOUNDARY,-2007,155455.5285714286
71,2 3,GOAL,1000000,167350.52112676058
72,3 2,BOUNDARY,-2005,164998.36111111112
73,2 2,GOAL,1000000,176436.7397260274
74,1 3,BOUNDARY,-2002,174025.4054054054
75,2 3,GOAL,1000000,185038.4
76,1 3,BOUNDARY,-2008,182577.26315789475
77,1 2,BOUNDARY,-2001,180180.14285714287
78,2 2,GOAL,1000000,190690.65384615384
79,1 1,BOUNDARY,-2006,188251.45569620252
80,2 3,GOAL,1000000,198398.3125
81,1 3,BOUNDARY,-2000,195924.25925925927
82,2 3,GOAL,1000000,205730.06097560975
83,3 1,BOUNDARY,-2002,203227.26506024096
84,1 3,BOUNDARY,-2006,200784.0119047619
85,3 1,BOUNDARY,-2004,198398.2705882353
86,1 3,STEPS,-1019,196079.46511627908
87,1 3,STEPS,-1019,193813.9655172414
88,2 3,BOUNDARY,-2000,191588.80681818182
89,3 3,BOUNDARY,-2000,189413.65168539327
90,2 1,GOAL,1000000,198420.16666666666
91,1 3,STEPS,-1019,196228.52747252746
92,2 2,GOAL,1000000,204965.1739130435
93,1 2,BOUNDARY,-2001,202739.7311827957
94,3 2,BOUNDARY,-2003,200561.6170212766
95,3 1,BOUNDARY,-2002,198429.36842105264
96,2 2,GOAL,1000000,206779.0625
97,1 1,STEPS,-1019,204636.8144329897
98,1 1,STEPS,-1019,202538.2857142857
99,2 3,GOAL,1000000,210593.45454545456
100,1 1,BOUNDARY,-2014,208467.38
101,2 1,GOAL,1000000,216304.33663366336
102,1 1,BOUNDARY,-2000,214164.0980392157
103,3 2,BOUNDARY,-2007,212065.3495145631
104,3 3,STEPS,-1019,210016.46153846153
105,2 3,GOAL,1000000,217540.11428571428
106,3 3,STEPS,-1019,215478.2358490566
107,3 2,BOUNDARY,-2015,213445.58878504674
108,2 3,GOAL,1000000,220728.5
109,1 3,BOUNDARY,-2008,218685.04587155965
110,3 3,STEPS,-1019,216687.73636363636
111,2 2,GOAL,1000000,223744.6036036036
112,2 3,GOAL,1000000,230675.45535714287
113,3 3,BOUNDARY,-2008,228616.30973451328
114,2 3,GOAL,1000000,235382.83333333334
115,2 3,GOAL,1000000,242031.67826086958
116,2 2,GOAL,1000000,248565.8879310345
117,2 2,GOAL,1000000,254988.40170940172
118,2 3,GOAL,1000000,261302.0593220339
119,3 2,STEPS,-1019,259097.6806722689
120,3 1,BOUNDARY,-2012,256921.76666666666
121,2 3,GOAL,1000000,263062.9090909091
122,1 3,BOUNDARY,-2002,260890.24590163934
123,3 1,STEPS,-1019,258760.9024390244
124,2 1,GOAL,1000000,264738.6370967742
125,1 3,BOUNDARY,-2002,262604.712
126,2 3,GOAL,1000000,268457.05555555556
127,1 3,BOUNDARY,-2008,266327.4094488189
128,3 3,STEPS,-1019,264238.765625
129,2 1,GOAL,1000000,269942.3410852713
130,2 1,GOAL,1000000,275558.1692307692
131,3 2,STEPS,-1019,273446.893129771
132,1 3,BOUNDARY,-2002,271360.1590909091
133,1 3,BOUNDARY,-2004,269304.7894736842
134,1 2,BOUNDARY,-2001,267280.1194029851
135,1 3,BOUNDARY,-2014,265285.34814814816
136,2 2,GOAL,1000000,270687.6617647059
137,3 3,BOUNDARY,-2010,268697.1678832117
138,2 3,GOAL,1000000,273996.46376811597
139,1 2,BOUNDARY,-2015,272010.76978417265
140,2 2,GOAL,1000000,277210.6928571428
141,3 1,BOUNDARY,-2002,275230.4609929078
142,1 3,BOUNDARY,-2002,273278.11971830984
143,1 2,GOAL,999982,278359.965034965
144,2 3,GOAL,1000000,283371.3541666667
145,1 2,BOUNDARY,-2007,281403.2275862069
146,2 1,GOAL,1000000,286325.12328767125
147,1 1,GOAL,999983,291179.9387755102
148,1 2,GOAL,999994,295969.22297297296
149,1 2,BOUNDARY,-2015,293969.3288590604
150,1 2,BOUNDARY,-2015,291996.1
151,3 2,BOUNDARY,-2001,290049.09933774837
152,3 3,BOUNDARY,-2000,288127.7236842105
153,1 1,STEPS,-1019,286237.8758169935
154,1 2,STEPS,-1019,284372.5714285714
155,2 1,GOAL,1000000,288989.52258064516
156,2 1,GOAL,1000000,293547.28205128206
157,1 3,BOUNDARY,-2018,291664.7006369427
158,1 1,STEPS,-1019,289812.2721518987
159,2 2,GOAL,1000000,294278.8616352201
160,1 1,STEPS,-1019,292433.25
161,1 2,GOAL,999994,296828.03726708074
162,3 2,BOUNDARY,-2000,294983.4197530864
163,1 3,GOAL,999997,299308.6564417178
164,2 2,GOAL,1000000,303581.1646341463
165,1 2,GOAL,999988,307801.81212121213
166,1 1,GOAL,999997,311971.6626506024
167,3 3,BOUNDARY,-2008,310091.5449101796
168,3 1,BOUNDARY,-2013,308233.77976190473
169,2 1,GOAL,1000000,312327.07100591715
170,1 3,GOAL,999993,316372.1647058824
171,1 2,GOAL,999992,320369.9415204678
172,1 3,GOAL,999993,324321.238372093
173,3 1,BOUNDARY,-2008,322434.9421965318
174,1 2,BOUNDARY,-2001,320570.367816092
175,1 2,BOUNDARY,-2000,318727.1085714286
176,2 2,GOAL,1000000,322597.9772727273
177,3 2,BOUNDARY,-2016,320764.0
178,1 2,GOAL,999996,324579.91011235956
179,3 2,STEPS,-1019,322760.9217877095
180,2 3,GOAL,1000000,326523.3611111111
181,1 2,GOAL,999990,330244.1712707182
182,1 3,BOUNDARY,-2006,328418.6208791209
183,1 3,GOAL,999997,332088.44808743167
184,3 2,BOUNDARY,-2010,330272.6956521739
185,1 2,GOAL,999996,333892.8216216216
186,1 3,BOUNDARY,-2006,332086.91397849465
187,1 2,BOUNDARY,-2001,330300.3475935829
188,3 1,BOUNDARY,-2005,328532.7659574468
189,3 2,BOUNDARY,-2002,326783.90476190473
190,3 2,BOUNDARY,-2006,325053.43157894735
191,1 1,BOUNDARY,-2015,323341.03141361254
192,2 1,GOAL,1000000,326865.296875
193,2 1,GOAL,1000000,330353.0414507772
194,3 1,STEPS,-1019,328644.9381443299
195,2 3,GOAL,1000000,332087.7846153846
196,3 1,BOUNDARY,-2011,330383.19897959183
197,3 3,STEPS,-1019,328700.9543147208
198,2 3,GOAL,1000000,332091.35353535356
199,2 2,GOAL,1000000,335447.6783919598
200,1 3,STEPS,-1019,333765.345
201,2 1,GOAL,1000000,337079.94527363183
202,2 1,GOAL,1000000,340361.7277227723
203,1 1,GOAL,999981,343611.0837438424
204,3 1,BOUNDARY,-2001,341916.9068627451
205,3 3,STEPS,-1019,340244.0487804878
206,2 3,GOAL,1000000,343446.7475728155
207,1 1,BOUNDARY,-2004,341777.90338164254
208,3 2,STEPS,-1019,340129.8413461539
209,1 1,BOUNDARY,-2004,338492.83732057415
210,2 1,GOAL,1000000,341642.8714285714
211,1 2,BOUNDARY,-2009,340014.18957345973
212,2 1,GOAL,1000000,343127.3301886792
213,1 2,STEPS,-1019,341511.61971830984
214,2 1,GOAL,1000000,344588.6682242991
215,1 3,STEPS,-1019,342981.1906976744
216,1 2,STEPS,-1019,341388.59722222225
217,1 2,STEPS,-1019,339810.6820276498
218,2 2,GOAL,1000000,342839.0733944954
219,3 1,BOUNDARY,-2006,341264.4383561644
220,1 2,STEPS,-1019,339708.60454545455
221,1 2,STEPS,-1019,338166.850678733
222,1 1,STEPS,-1019,336638.9864864865
223,3 3,BOUNDARY,-2018,335120.34529147984
224,3 3,BOUNDARY,-2004,333615.32589285716
225,1 2,STEPS,-1019,332128.0622222222
226,1 1,STEPS,-1019,330653.9601769911
227,2 1,GOAL,1000000,333602.62114537443
228,1 3,STEPS,-1019,332134.98245614034
229,2 1,GOAL,1000000,335051.42358078604
230,1 3,GOAL,999993,337942.4739130435
231,2 3,GOAL,1000000,340808.5238095238
232,3 3,STEPS,-1019,339335.1293103448
233,1 3,BOUNDARY,-2012,337870.1201716738
234,3 2,BOUNDARY,-2001,336417.6794871795
235,3 3,STEPS,-1019,334981.7787234043
236,3 1,STEPS,-1019,333558.0466101695
237,2 3,GOAL,1000000,336370.03797468357
238,1 1,STEPS,-1019,334952.4369747899
239,1 1,BOUNDARY,-2008,333542.5606694561
240,1 1,STEPS,-1019,332148.55416666664
241,3 3,STEPS,-1019,330766.1161825726
242,2 1,GOAL,1000000,333531.54545454547
243,1 3,STEPS,-1019,332154.7942386831
244,3 3,STEPS,-1019,330789.3278688525
245,1 3,STEPS,-1019,329435.0081632653
246,2 1,GOAL,1000000,332160.88211382116
247,3 2,GOAL,999988,334864.63562753034
248,3 1,STEPS,-1019,333510.26612903224
249,3 2,BOUNDARY,-2000,332162.8353413655
250,2 3,GOAL,1000000,334834.184
251,1 3,STEPS,-1019,333496.1235059761
252,1 1,STEPS,-1019,332168.68253968254
253,1 1,STEPS,-1019,330851.7351778656
254,2 1,GOAL,1000000,333486.1771653543
255,1 2,STEPS,-1019,332174.39215686277
256,1 2,BOUNDARY,-2017,330868.95703125
257,1 3,STEPS,-1019,329577.5642023346
258,3 2,STEPS,-1019,328296.18217054266
259,2 1,GOAL,1000000,330889.6332046332
260,3 2,STEPS,-1019,329613.06153846154
261,1 2,GOAL,999982,332181.52490421454
262,1 1,GOAL,999993,334730.4236641221
263,2 3,GOAL,1000000,337259.96577946766
264,1 1,BOUNDARY,-2000,335974.89015151514
265,1 3,STEPS,-1019,334703.2150943396
266,3 1,STEPS,-1019,333441.1015037594
267,3 2,STEPS,-1019,332188.44194756553
268,3 2,STEPS,-1019,330945.1305970149
269,1 1,GOAL,999997,333432.312267658
270,3 3,STEPS,-1019,332193.60370370373
271,1 1,GOAL,999989,334657.7933579336
272,2 2,GOAL,1000000,337103.9044117647
273,1 3,STEPS,-1019,335865.358974359
274,2 1,GOAL,1000000,338289.20802919706
275,3 1,BOUNDARY,-2013,337051.7454545455
276,1 2,GOAL,999994,339453.71014492755
277,1 1,GOAL,999983,341838.2924187726
278,1 3,GOAL,999997,344205.76978417265
279,2 3,GOAL,1000000,346556.2867383513
280,2 3,BOUNDARY,-2003,345311.4321428572
281,3 1,BOUNDARY,-2002,344075.4412811388
282,3 1,BOUNDARY,-2002,342848.21631205676
283,3 3,BOUNDARY,-2000,341629.67137809185
284,3 3,BOUNDARY,-2002,340419.70070422534
285,3 3,BOUNDARY,-2002,339218.22105263156
286,3 1,BOUNDARY,-2006,338025.1293706294
287,3 2,BOUNDARY,-2003,336840.362369338
288,3 1,STEPS,-1019,335667.2395833333
289,1 2,BOUNDARY,-2002,334498.8339100346
290,1 1,STEPS,-1019,333341.87586206896
